Player,Team,Class,POS,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS
Lucas Day,Oakland,JR,1B,0.276,0.324,0.432,0.756,50,205,185,17,51,14,0,5,33,1,14,38,0,0
Brock Wills,West Virginia,SR,RF,0.276,0.364,0.387,0.75,50,191,163,26,45,6,3,2,23,9,14,40,3,1
Isaac Wachsmann,Creighton,SO,CF,0.276,0.376,0.53,0.906,57,258,217,51,60,11,1,14,48,5,32,51,12,2
Jon Howard,Longwood,GR,1B,0.276,0.384,0.562,0.946,57,258,210,36,58,12,0,16,57,4,37,52,1,1
JT Shank,Pacific,SO,CF,0.276,0.375,0.412,0.787,52,203,170,33,47,12,1,3,23,1,27,38,3,1
Daniel Gierer,SIU Edwardsville,JR,CF,0.276,0.353,0.464,0.817,57,230,196,40,54,12,2,7,27,10,14,39,12,2
Chazz Grossington,Winthrop,JR,SS,0.276,0.321,0.404,0.725,53,223,203,35,56,11,0,5,35,4,10,30,3,0
Cole Johnson,Austin Peay,SO,1B,0.276,0.403,0.507,0.911,55,248,203,38,56,9,1,12,49,10,34,42,2,0
Ethan Mooser,Northern Colorado,SO,RF,0.276,0.333,0.417,0.751,46,184,163,28,45,7,2,4,30,4,11,36,7,2
Alex Manent,Saint Peter&#8217;s,SR,3B,0.276,0.43,0.5,0.93,51,223,174,33,48,9,0,10,35,13,35,56,1,0
Cermodrick Bland,Stephen F. Austin,SO,CF,0.276,0.385,0.417,0.802,55,240,199,36,55,7,6,3,34,9,28,60,28,4
Logan Lowe,UNC Asheville,SO,SS,0.276,0.402,0.307,0.709,54,248,192,39,53,6,0,0,24,6,37,27,22,6
Lorenzo Camilleri,New Jersey Tech,FR,DH,0.276,0.39,0.476,0.866,44,178,145,17,40,7,2,6,26,4,25,36,0,0
Logan Koslin,Mercyhurst,FR,3B,0.276,0.424,0.327,0.751,46,198,156,34,43,5,0,1,21,22,19,19,13,3
Cordell Coburn,Western Illinois,SR,DH,0.275,0.402,0.384,0.786,42,173,138,21,38,7,1,2,32,10,20,49,0,1
Dalton Bargo,NC State,SR,DH,0.275,0.338,0.5,0.838,42,157,138,25,38,7,0,8,34,1,14,30,0,0
Trey Dunn,Pepperdine,GR,RF,0.275,0.335,0.489,0.824,50,194,178,25,49,9,1,9,25,2,14,62,2,1
Josh Skowronski,Winthrop,SO,CF,0.275,0.428,0.471,0.899,57,265,204,50,56,18,2,6,33,9,48,46,12,3
Cooper Romich,Le Moyne,JR,1B,0.275,0.376,0.407,0.783,45,205,167,36,46,6,2,4,41,9,21,31,3,0
Vance Sheahan,Miami,JR,SS,0.275,0.376,0.363,0.738,52,218,182,32,50,5,1,3,30,12,18,42,7,3
Casey Borba,Texas,JR,1B,0.275,0.377,0.574,0.951,56,247,204,46,56,10,0,17,56,4,32,74,5,1
Campbell Smithwick,Oklahoma State,JR,C,0.275,0.422,0.5,0.922,57,242,182,42,50,11,0,10,43,14,36,41,6,1
Alex Sandell,Holy Cross,JR,2B,0.275,0.346,0.446,0.792,55,234,204,43,56,14,3,5,35,9,16,36,8,1
Easton Amundson,Akron,GR,1B,0.275,0.386,0.686,1.072,44,184,153,40,42,8,2,17,55,7,22,57,5,0
Ethan Miller,Florida A&#038;M,SR,C,0.275,0.387,0.386,0.773,48,214,171,32,47,10,0,3,32,9,26,29,0,0
Jacob Green,South Florida,SR,RF,0.275,0.321,0.403,0.724,45,163,149,28,41,8,4,1,25,4,7,35,7,0
Ryan Pruitt,South Florida,SR,CF,0.275,0.377,0.363,0.74,53,237,193,48,53,10,2,1,27,3,33,25,20,4
Keaten Hawk,Alcorn State,JR,RF,0.275,0.414,0.4,0.814,50,204,160,34,44,7,2,3,31,12,28,36,15,2
Steven Kraus,Binghamton,SO,1B,0.275,0.398,0.416,0.814,51,221,178,38,49,7,0,6,35,7,32,24,1,0
Brady Petit,Saint Mary&#8217;s,SO,3B,0.275,0.34,0.365,0.705,51,204,178,25,49,11,1,1,27,4,15,30,0,1
Trey Callaway,Alabama State,SO,C,0.275,0.374,0.584,0.958,50,206,178,37,49,2,1,17,47,5,23,58,2,1
Tyson Owens,Kansas,SO,CF,0.275,0.406,0.55,0.956,55,246,200,47,55,9,2,14,42,8,36,56,6,1
Nick Griffith,Morehead State,FR,2B,0.275,0.366,0.44,0.806,51,213,182,39,50,7,1,7,26,9,19,36,8,3
Ben Green,UNC Asheville,FR,CF,0.275,0.357,0.415,0.772,48,196,171,29,47,11,2,3,33,4,19,33,10,6
Josh Overbeek,Nebraska,SR,3B,0.274,0.399,0.408,0.807,56,249,201,42,55,11,2,4,33,19,25,43,7,2
Jonah Oster,Campbell,SR,3B,0.274,0.327,0.513,0.84,58,262,234,37,64,16,2,12,56,7,14,40,3,1
Justin Hackett,Bryant,SR,SS,0.274,0.363,0.5,0.863,49,196,164,29,45,11,1,8,28,2,22,55,14,1
Will Gallagher,Rider,SR,3B,0.274,0.42,0.328,0.749,53,258,201,55,55,3,1,2,28,7,46,34,7,4
Maika Niu,Arkansas,SR,CF,0.274,0.347,0.479,0.826,60,246,215,39,59,14,0,10,51,2,24,69,18,2
Easton Talt,Oregon State,SR,CF,0.274,0.379,0.406,0.785,59,287,234,52,64,12,2,5,45,3,41,46,26,5
Matt Chavez,California Baptist,SR,C,0.274,0.315,0.44,0.756,53,185,168,32,46,7,0,7,25,4,8,35,3,4
Charlie Longmeier,Evansville,SO,DH,0.274,0.354,0.372,0.726,54,246,215,30,59,13,1,2,28,3,25,28,8,4
Mike Whelehan,Le Moyne,JR,2B,0.274,0.377,0.321,0.699,47,205,168,40,46,5,0,1,31,4,27,14,9,1
Caden Bogenpohl,Missouri State,JR,CF,0.274,0.427,0.413,0.84,55,267,208,57,57,11,0,6,33,5,52,48,7,4
Tyler Zedalis,Old Dominion,JR,3B,0.274,0.333,0.462,0.795,52,219,197,31,54,10,0,9,36,1,18,58,1,0
Blake Wilson,Washington,JR,3B,0.274,0.337,0.402,0.739,48,200,179,28,49,8,3,3,20,1,17,57,9,2
Nathan Borchardt,Eastern Michigan,JR,DH,0.274,0.425,0.468,0.893,40,160,124,24,34,12,0,4,24,5,29,28,1,0
Jake Butler,George Mason,JR,1B,0.274,0.382,0.413,0.795,56,256,208,43,57,15,1,4,30,9,29,36,22,4
Joey Calabretti,St. Bonaventure,JR,LF,0.274,0.355,0.583,0.938,48,201,175,38,48,10,1,14,45,13,9,67,3,1
Alex Perry,Southeastern Louisiana,SR,3B,0.274,0.374,0.589,0.963,55,232,197,54,54,11,0,17,50,8,24,42,1,0
TJ Anderson,The Citadel,SR,LF,0.274,0.395,0.442,0.837,60,262,208,50,57,15,1,6,43,9,35,38,15,2
Ryan Martin,Dallas Baptist,JR,RF,0.274,0.391,0.511,0.901,54,233,190,42,52,7,1,12,42,11,28,37,3,0
Owen Smith,New Orleans,JR,RF,0.274,0.362,0.478,0.841,49,218,186,40,51,11,0,9,37,9,19,47,13,2
Michael Petite,VCU,JR,CF,0.274,0.437,0.548,0.984,63,300,230,66,63,15,3,14,43,23,45,52,22,2
Kooper Schulte,Iowa,JR,SS,0.274,0.355,0.484,0.84,56,261,223,50,61,18,1,9,39,9,22,46,11,2
Matt Conte,Wake Forest,SO,C,0.274,0.374,0.504,0.878,59,263,226,40,62,12,2,12,52,3,33,51,1,1
Andrew Schuldt,Campbell,JR,C,0.273,0.458,0.409,0.867,44,180,132,37,36,9,0,3,23,4,41,30,7,3
Andrew Ramirez,Southeast Missouri State,SR,SS,0.273,0.353,0.35,0.702,51,215,183,29,50,8,0,2,35,5,18,12,1,1
Austin Francis,New Jersey Tech,SR,LF,0.273,0.419,0.324,0.742,48,229,176,33,48,9,0,0,26,8,39,26,5,4
Lucas Pringle,Charleston Southern,GR,C,0.273,0.432,0.367,0.799,47,201,150,42,41,8,0,2,31,20,25,30,3,0
Luke Johnson,Cornell,JR,3B,0.273,0.338,0.347,0.685,32,135,121,18,33,6,0,1,15,4,8,20,12,3
Robbie Carvelli,Lehigh,JR,RF,0.273,0.355,0.32,0.675,43,175,150,23,41,4,0,1,14,8,12,28,5,0
Luke Lavin,Stanford,JR,C,0.273,0.344,0.406,0.749,46,161,143,16,39,7,0,4,25,1,15,36,1,0
Nater Wachter,Connecticut,JR,RF,0.273,0.379,0.431,0.81,58,253,209,47,57,13,1,6,34,6,33,67,3,3
Matt Westley,George Mason,JR,1B,0.273,0.35,0.403,0.753,43,163,139,28,38,6,0,4,23,2,16,21,6,2
Jake Lambdin,Duke,JR,SS,0.273,0.373,0.488,0.861,56,244,205,50,56,18,1,8,32,9,25,46,20,4
Landon Springmeyer,Northern Kentucky,JR,DH,0.273,0.389,0.538,0.927,43,164,132,32,36,12,1,7,41,7,20,41,0,1
Pedro Agosto,Coppin State,JR,LF,0.273,0.406,0.51,0.916,43,177,143,38,39,8,4,6,30,14,18,34,7,4
Dominic Decker,Ole Miss,JR,2B,0.273,0.416,0.435,0.851,60,280,216,60,59,5,0,10,33,7,50,45,13,3
Tyler Fox,Massachusetts,FR,CF,0.273,0.386,0.403,0.789,46,213,176,30,48,7,2,4,28,4,29,37,17,4
Parker Brzustewicz,Notre Dame,SO,1B,0.273,0.386,0.329,0.715,40,172,143,18,39,8,0,0,21,3,24,31,1,0
Trey Spees,Western Carolina,SO,1B,0.273,0.385,0.438,0.822,46,157,128,26,35,6,0,5,23,5,20,33,0,1
Matt Toomey,Long Beach State,SO,RF,0.273,0.39,0.386,0.777,40,166,132,24,36,11,2,0,22,15,13,35,5,1
Paxton Bigby,South Alabama,JR,DH,0.273,0.366,0.38,0.746,45,142,121,19,33,4,0,3,19,2,17,23,1,1
JP Acosta,Western Kentucky,JR,3B,0.273,0.361,0.333,0.694,52,218,183,22,50,11,0,0,19,7,18,25,4,2
Shane Cox,Memphis,GR,2B,0.272,0.343,0.417,0.759,57,256,228,33,62,13,1,6,34,3,22,44,11,3
DJ Dillehay,Brown,SR,3B,0.272,0.357,0.405,0.761,43,199,173,26,47,8,0,5,41,10,14,28,3,2
Patrick Fultz,Wright State,SR,3B,0.272,0.376,0.503,0.879,52,230,191,38,52,13,2,9,33,3,30,56,1,4
Carter Dierdorf,Pittsburgh,SR,1B,0.272,0.493,0.536,1.03,54,219,151,38,41,7,0,11,38,7,60,39,5,1
Reid Haire,Evansville,JR,CF,0.272,0.367,0.455,0.822,54,248,213,43,58,12,0,9,33,3,30,62,12,4
Vidal Colon,Illinois-Chicago,JR,CF,0.272,0.396,0.381,0.777,48,190,147,32,40,10,0,2,26,8,26,38,5,3
Jake Kulikowski,South Florida,JR,LF,0.272,0.368,0.449,0.817,46,165,136,28,37,10,1,4,29,2,21,34,2,0
Nolan Souza,Arkansas,JR,2B,0.272,0.36,0.402,0.762,60,259,224,47,61,15,1,4,35,6,26,56,15,2
Riley DeCandido,Liberty,JR,RF,0.272,0.423,0.412,0.835,64,296,228,49,62,14,0,6,44,20,42,52,11,2
Jack Andrews,Merrimack,SO,DH,0.272,0.356,0.321,0.677,46,189,162,23,44,4,2,0,30,10,13,26,17,1
Trenton Lyons,Kennesaw State,JR,RF,0.272,0.361,0.432,0.793,53,245,213,38,58,17,1,5,32,2,28,56,13,4
Macaddin Dye,Old Dominion,JR,C,0.272,0.396,0.405,0.801,49,192,158,39,43,6,0,5,18,13,20,46,3,0
Dylan Kordic,Cal Poly,GR,RF,0.272,0.364,0.509,0.873,53,196,169,24,46,13,0,9,37,3,22,41,1,1
Parker Martin,Southern Indiana,JR,3B,0.272,0.34,0.387,0.727,55,245,217,38,59,13,0,4,39,5,18,25,3,1
Zack Thompson,Gardner-Webb,SR,C,0.272,0.325,0.391,0.716,45,169,151,28,41,7,1,3,23,3,10,35,0,1
Zach Knowlton,Central Michigan,SR,CF,0.272,0.355,0.467,0.823,48,202,169,37,46,9,3,6,40,7,17,43,13,2
Jake Kelleher,Long Island,JR,DH,0.272,0.369,0.428,0.797,47,206,173,30,47,10,1,5,37,3,26,33,3,0
Alex Dupuy,UAB,JR,3B,0.272,0.383,0.465,0.848,58,268,217,54,59,12,0,10,41,19,23,57,10,3
Karsen Waslefsky,New Mexico,SR,SS,0.272,0.354,0.415,0.769,51,232,195,38,53,8,1,6,39,4,23,30,10,2
Tyler Lichtenberger,Clemson,SO,SS,0.272,0.374,0.351,0.726,57,238,202,35,55,8,1,2,27,7,26,52,7,2
Braylen Gonzalez,Binghamton,SO,RF,0.272,0.431,0.408,0.839,41,201,147,44,40,6,1,4,20,3,41,26,8,1
Cayden Hessemyer,Florida Gulf Coast,SO,2B,0.272,0.325,0.346,0.671,49,210,191,14,52,11,0,1,27,2,14,33,3,2
Aidan Schuck,Oakland,SO,C,0.272,0.335,0.359,0.694,51,220,195,24,53,9,1,2,34,11,9,28,11,7
Sawyer Strosnider,TCU,SO,RF,0.272,0.413,0.587,1,50,235,184,54,50,11,4,13,47,4,43,43,12,2
Colin Crowley,Winthrop,SO,3B,0.272,0.409,0.444,0.853,52,207,162,32,44,13,0,5,30,9,30,29,4,0
Charlie Bates,Stanford,SO,SS,0.272,0.391,0.465,0.856,53,244,202,43,55,8,2,9,34,8,32,36,10,4
TJ Baer,Marist,FR,CF,0.272,0.392,0.385,0.777,54,257,213,51,58,5,2,5,21,9,33,27,16,2
Bennett Crerar,Princeton,FR,DH,0.272,0.299,0.395,0.693,38,154,147,20,40,7,1,3,16,1,5,44,2,2
Adrian Jimenez,Charlotte,SO,SS,0.271,0.388,0.359,0.747,56,235,192,35,52,7,2,2,24,8,30,26,3,0
Colin Hynek,North Carolina,GR,DH,0.271,0.36,0.486,0.846,60,250,214,44,58,16,3,8,53,6,26,48,1,0
Matt McIntire,New Haven,SR,LF,0.271,0.369,0.512,0.881,39,149,129,20,35,10,0,7,28,5,15,29,0,2
Devin Chandler,Alabama State,SR,LF,0.271,0.44,0.437,0.877,57,268,199,49,54,7,1,8,37,13,50,51,2,3
Riley Jackson,Houston,JR,1B,0.271,0.387,0.512,0.899,51,203,166,25,45,13,0,9,29,9,23,51,0,2
Julian Nunez,Pepperdine,GR,SS,0.271,0.352,0.362,0.714,53,233,199,31,54,15,0,1,18,12,15,21,1,1
Sebastian Pisacreta,Pittsburgh,JR,C,0.271,0.398,0.542,0.939,57,250,203,46,55,11,1,14,51,10,34,55,0,1
Ryan LeClair,Stonehill,JR,SS,0.271,0.44,0.384,0.824,48,233,177,44,48,9,1,3,32,26,28,29,10,2
Jack Beverly,Massachusetts,GR,1B,0.271,0.368,0.321,0.69,40,165,140,21,38,4,0,1,17,4,18,36,0,0
Drew Markle,Louisiana,JR,3B,0.271,0.375,0.421,0.795,66,275,221,50,60,11,2,6,44,11,29,58,15,1
Matthew Rhoades,Butler,JR,1B,0.271,0.367,0.589,0.956,54,248,214,46,58,11,0,19,43,12,21,69,1,0
John Calabrese,Bucknell,SO,RF,0.271,0.378,0.373,0.751,45,146,118,17,32,12,0,0,18,4,18,19,2,1
Nick Cote,Niagara,FR,DH,0.271,0.337,0.343,0.68,47,189,166,18,45,9,0,1,20,3,15,23,2,1
AJ Solomon,Georgetown,GR,2B,0.27,0.451,0.392,0.843,56,259,189,45,51,8,3,3,31,6,58,41,6,2
Joey Baran,Pittsburgh,GR,DH,0.27,0.437,0.46,0.897,54,220,163,39,44,7,0,8,41,12,38,37,0,1
James Marino,Quinnipiac,GR,LF,0.27,0.407,0.482,0.889,43,181,141,27,38,10,1,6,33,9,25,36,3,3
Chris Barr,Army,SR,2B,0.27,0.379,0.427,0.806,48,229,185,43,50,12,4,3,32,8,27,39,25,2
Alonso Reyes,UC Irvine,JR,1B,0.27,0.42,0.389,0.809,52,240,185,24,50,6,2,4,34,18,32,38,2,1
Aidan Cohall,Florida International,JR,1B,0.27,0.398,0.506,0.904,50,211,174,26,47,20,0,7,43,10,27,47,2,0
Ethan Mendoza,Texas,JR,2B,0.27,0.385,0.469,0.855,55,262,211,49,57,13,1,9,46,5,39,31,11,1
Gage Mestas,San Diego,GR,2B,0.27,0.384,0.365,0.749,45,193,159,27,43,8,2,1,27,8,22,30,12,5
Ben Slanker,Louisville,JR,RF,0.27,0.418,0.554,0.972,49,190,148,34,40,10,1,10,46,3,36,36,0,2
Nick Tomasetto,Seton Hall,JR,DH,0.27,0.379,0.44,0.818,41,170,141,15,38,10,4,2,21,4,22,40,4,3
Braeden Terry,Washington,GR,RF,0.27,0.388,0.405,0.793,56,246,200,37,54,10,4,3,26,8,33,43,2,2
Justin Lebron,Alabama,JR,SS,0.27,0.38,0.541,0.92,57,266,222,57,60,12,0,16,46,15,26,53,40,1
Easton Moomau,UT Rio Grande Valley,JR,3B,0.27,0.392,0.393,0.786,55,255,211,27,57,6,1,6,40,2,41,39,3,1
Daniel Stewart,Western Kentucky,SR,DH,0.27,0.331,0.496,0.828,46,154,141,24,38,11,0,7,33,2,11,46,1,0
Cavan McMeans,Belmont,SO,SS,0.27,0.316,0.433,0.749,55,236,215,30,58,11,3,6,32,4,12,60,7,1
Brogan Jones,Longwood,JR,2B,0.27,0.374,0.405,0.779,56,265,222,51,60,8,2,6,37,6,33,43,18,5
Hunter Kingsbury,Bryant,SO,LF,0.27,0.326,0.411,0.737,44,193,163,32,44,10,2,3,30,7,11,35,20,5
Ernie Echevarria,Pennsylvania,SO,C,0.27,0.388,0.36,0.748,34,135,111,28,30,7,0,1,19,4,18,18,1,0
Trey Swygart,Portland,SO,1B,0.27,0.418,0.433,0.85,51,225,178,27,48,11,0,6,30,7,39,52,1,0
Vance Bonior,Massachusetts,SO,RF,0.27,0.442,0.418,0.86,42,163,122,21,33,6,0,4,22,23,16,19,9,3
Rustan Rigdon,Vanderbilt,SO,CF,0.27,0.389,0.434,0.823,54,233,189,47,51,7,3,6,31,6,32,41,15,5
Mason Pirello,Washington State,FR,DH,0.27,0.378,0.391,0.769,45,135,115,19,31,9,1,1,17,8,12,36,6,1
Ethan Peña,Stephen F. Austin,JR,3B,0.27,0.302,0.407,0.709,48,202,189,22,51,11,0,5,32,1,9,35,1,0
Tyler Cox,Hofstra,SR,CF,0.269,0.376,0.463,0.839,48,218,175,33,47,11,1,7,54,0,35,38,9,2
Bryce Molinaro,Penn State,JR,3B,0.269,0.367,0.56,0.927,51,226,193,32,52,7,2,15,44,7,24,63,0,2
Jacob Jarrell,Clemson,SR,C,0.269,0.396,0.579,0.975,54,240,197,42,53,7,0,18,50,7,35,51,0,0
Cody Kashimoto,Saint Mary&#8217;s,SR,2B,0.269,0.353,0.332,0.685,58,240,193,42,52,12,0,0,22,13,13,31,7,2
Jagger Schattle,Central Arkansas,GR,1B,0.269,0.377,0.467,0.844,52,200,167,25,45,6,0,9,34,3,27,36,0,0
Dylan LaPointe,Mercer,JR,C,0.269,0.389,0.539,0.928,58,235,193,47,52,8,1,14,43,20,19,54,0,1
Ike Schmidly,James Madison,JR,RF,0.269,0.345,0.497,0.843,51,223,193,33,52,9,1,11,42,3,21,60,13,4
Jonathan Mendez,UC Santa Barbara,JR,SS,0.269,0.324,0.395,0.719,46,183,167,23,45,10,1,3,20,4,10,34,3,1
Ty Allen,Minnesota,JR,LF,0.269,0.356,0.495,0.851,51,216,182,35,49,8,3,9,46,2,26,41,9,1
Mark Mennecke,Western Michigan,JR,LF,0.269,0.354,0.35,0.704,45,182,160,26,43,8,1,1,21,10,11,23,4,1
Jacob Payne,Toledo,JR,C,0.269,0.406,0.429,0.834,54,218,175,34,47,9,2,5,42,21,20,45,3,0
Frank Adamski Jr.,Towson,JR,3B,0.269,0.366,0.366,0.732,49,208,175,29,47,10,2,1,32,9,19,33,8,3
Cooper Nicholson,North Carolina,JR,3B,0.269,0.438,0.591,1.028,60,256,193,51,52,14,0,16,48,21,39,58,1,0
Evan Joubert,Texas Southern,SR,3B,0.269,0.388,0.44,0.828,37,166,134,29,36,6,1,5,29,6,22,34,4,6
Wesley Alig,Kennesaw State,SO,2B,0.269,0.354,0.359,0.713,45,184,156,21,42,7,2,1,19,7,15,36,1,1
Tervell Johnson,Alabama A&#038;M,GR,2B,0.268,0.399,0.49,0.889,50,193,153,24,41,6,2,8,39,5,31,40,4,3
Brody Langlotz,Belmont,SO,RF,0.268,0.379,0.39,0.77,45,145,123,20,33,6,0,3,17,5,17,27,4,1
Blake Guerin,South Alabama,SR,1B,0.268,0.353,0.569,0.922,56,241,209,46,56,15,0,16,58,6,23,74,0,0
Jared Lewis,San Francisco,JR,2B,0.268,0.374,0.327,0.7,46,187,153,24,41,6,0,1,18,3,24,54,4,1
Nick Husovsky,UC Santa Barbara,GR,1B,0.268,0.345,0.393,0.738,52,211,183,29,49,5,0,6,35,4,18,39,0,2
