Player,Team,Class,POS,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS
Tanner Mally,Western Michigan,JR,CF,0.446,0.554,0.528,1.082,50,243,195,58,87,12,2,0,19,23,24,13,19,6
Jack Cannon,Le Moyne,JR,RF,0.439,0.504,0.699,1.203,47,225,196,61,86,19,1,10,64,2,25,28,51,4
Jarren Advincula,Georgia Tech,JR,2B,0.434,0.503,0.629,1.132,61,300,256,74,111,16,2,10,66,9,30,16,16,2
KJ White Jr.,Southern,SR,2B,0.421,0.486,0.484,0.971,48,225,190,46,80,7,1,1,33,7,20,17,32,8
Michael Rodriguez,Bethune-Cookman,SO,RF,0.416,0.574,0.565,1.139,52,218,154,53,64,11,3,2,39,20,40,24,18,6
Patrick McCullough,West Georgia,SR,3B,0.415,0.446,0.603,1.049,54,240,224,44,93,17,2,7,37,0,14,30,7,2
Miller Durham,Utah Tech,JR,1B,0.406,0.49,0.634,1.125,45,209,175,40,71,10,0,10,43,8,23,25,2,2
Mikey Cruz Jr.,Nevada,SR,DH,0.403,0.471,0.678,1.149,39,173,149,30,60,13,2,8,42,7,14,16,1,0
Lukas Torres,Wagner,GR,CF,0.401,0.529,0.495,1.024,53,265,202,64,81,13,3,0,37,6,52,10,17,2
Tyree Reed,Jackson State,SR,RF,0.401,0.538,0.642,1.18,53,256,187,62,75,14,2,9,41,12,48,39,10,4
Alex Fernandes,San Jose State,SR,RF,0.401,0.528,0.661,1.19,51,248,192,58,77,17,6,7,39,12,42,27,15,3
Jorsixt Jimenez,Tennessee Tech,SR,RF,0.401,0.483,0.817,1.3,52,238,202,55,81,16,4,20,69,11,23,38,6,4
Landon Hairston,Arizona State,SO,LF,0.4,0.507,0.86,1.366,59,290,235,82,94,20,2,28,81,10,43,27,11,4
Daniel Jackson,Georgia,JR,C,0.399,0.498,0.84,1.339,62,293,238,85,95,13,1,30,85,7,44,54,25,2
Vahn Lackey,Georgia Tech,JR,C,0.397,0.519,0.772,1.291,61,283,219,85,87,16,3,20,78,10,50,38,15,1
Jackson McKenzie,Florida A&#038;M,JR,DH,0.395,0.515,0.822,1.337,40,163,129,35,51,15,2,12,53,6,27,35,1,1
Marcus Dierks,Miami (OH),JR,CF,0.394,0.536,0.478,1.013,55,281,203,72,80,11,3,0,32,21,42,34,40,4
Titan Kamaka,Mercer,SR,SS,0.393,0.475,0.631,1.106,55,243,206,42,81,22,3,7,47,5,29,36,5,3
Chris Chavez,Texas Southern,JR,RF,0.392,0.524,0.464,0.988,41,209,153,44,60,6,1,1,38,18,30,17,5,2
Brayden Bakes,Illinois State,SO,LF,0.389,0.478,0.705,1.183,57,276,234,54,91,22,2,16,52,3,38,37,7,1
Blake Primrose,Saint Joseph&#8217;s,SO,C,0.388,0.502,0.854,1.356,54,263,206,78,80,18,3,24,72,4,48,55,2,0
Lorenzo Carrier,Pittsburgh,SR,RF,0.387,0.534,0.784,1.318,57,268,199,67,77,15,2,20,69,9,57,62,6,0
Aubrey Kearns,Morehead State,SO,DH,0.387,0.471,0.622,1.093,55,255,217,59,84,13,1,12,59,4,32,43,3,1
Chris Katz,Mercer,SR,LF,0.386,0.51,0.791,1.301,59,286,220,82,85,18,1,23,74,10,51,26,2,2
Tommy Harrison,Miami (OH),JR,RF,0.386,0.507,0.698,1.205,54,272,215,58,83,16,0,17,85,14,41,33,4,3
Andrew Detlefsen,UTSA,SR,LF,0.386,0.443,0.659,1.101,57,280,249,66,96,22,2,14,70,14,14,49,5,0
TJ Grines,Tennessee-Martin,SR,RF,0.386,0.439,0.622,1.061,55,271,241,75,93,21,3,10,56,8,17,29,66,8
Caleb Wulf,Iowa,SR,1B,0.385,0.437,0.489,0.926,56,257,231,46,89,15,0,3,49,8,14,13,3,2
Diego Cruz,Miami (OH),FR,2B,0.385,0.467,0.615,1.082,52,229,192,58,74,19,2,7,47,16,16,42,23,5
Danny MacDougall,Dayton,GR,2B,0.384,0.48,0.661,1.14,54,272,224,70,86,24,1,12,43,11,32,53,34,8
Carson Kerce,Georgia Tech,JR,SS,0.384,0.473,0.679,1.152,61,278,237,70,91,29,4,11,51,6,34,37,2,0
Brady Christman,Georgia Southern,FR,DH,0.384,0.48,0.719,1.199,46,177,146,41,56,5,4,12,44,1,28,47,3,0
Ryland Duson,Prairie View,FR,3B,0.384,0.455,0.584,1.039,50,222,190,40,73,13,2,7,45,2,26,32,5,5
Chris Ramirez,California Baptist,SO,SS,0.383,0.447,0.569,1.016,59,293,253,71,97,22,2,7,41,5,29,18,21,7
Hunter Miller,Southern Indiana,SR,LF,0.382,0.49,0.561,1.051,46,155,123,26,47,9,2,3,19,3,23,23,3,1
Diego Castellanos,Saint Mary&#8217;s,JR,RF,0.382,0.458,0.554,1.012,62,294,251,61,96,21,2,6,50,5,31,33,8,2
Evan Bottone,Marshall,JR,CF,0.381,0.475,0.572,1.047,54,259,215,57,82,13,2,8,41,16,23,30,11,1
Byron Robinson,Texas Southern,JR,DH,0.381,0.512,0.65,1.162,45,207,160,39,61,9,2,10,46,7,38,40,3,0
Gavin Kelly,West Virginia,SO,C,0.381,0.482,0.709,1.19,57,275,223,63,85,19,3,16,56,6,41,41,4,7
Rett Johnson,NC State,FR,LF,0.381,0.49,0.447,0.936,54,247,197,53,75,10,0,1,31,3,42,17,14,2
JP Pennella,UNC Wilmington,SO,LF,0.38,0.464,0.425,0.889,55,241,200,36,76,9,0,0,17,5,27,44,16,5
Chase Swain,La Salle,SR,CF,0.38,0.485,0.616,1.1,54,262,216,63,82,14,5,9,43,12,33,44,19,2
Rylan Lujo,Georgia,SO,CF,0.379,0.457,0.641,1.098,54,230,198,54,75,14,1,12,44,11,19,20,14,1
Mikey Bell,Gonzaga,JR,3B,0.379,0.456,0.607,1.063,54,261,224,52,85,24,0,9,47,7,27,37,4,1
Jackson Marshall,Connecticut,SO,1B,0.379,0.48,0.674,1.154,57,271,224,49,85,22,1,14,59,7,38,36,1,1
Paulie Goodness,Le Moyne,SR,CF,0.378,0.502,0.465,0.967,44,223,172,50,65,10,1,1,24,15,31,30,40,6
Braeden Schnabel,Pacific,JR,RF,0.378,0.436,0.574,1.011,44,167,148,35,56,18,1,3,29,2,14,32,1,0
Cole Howarth,California Baptist,SR,1B,0.377,0.417,0.514,0.931,49,164,146,25,55,11,0,3,35,0,13,37,3,1
Rayner Heinrich,Tarleton,SO,LF,0.377,0.444,0.677,1.122,55,253,220,51,83,22,4,12,63,10,19,39,12,2
Mark Quatrani,Notre Dame,JR,C,0.376,0.457,0.643,1.1,53,254,213,53,80,10,1,15,66,12,24,45,1,1
Jackson Trout,Omaha,GR,1B,0.376,0.436,0.613,1.05,47,220,194,40,73,15,2,9,46,3,20,28,9,2
Johnathan Gomez,Fairleigh Dickinson,SO,SS,0.376,0.5,0.61,1.11,53,280,218,78,82,21,0,10,51,21,37,41,12,2
Logan Hughes,Texas Tech,JR,LF,0.375,0.51,0.735,1.245,55,257,200,68,75,16,1,18,70,7,49,33,3,0
Derek Williams,Miami,GR,RF,0.374,0.466,0.668,1.134,59,266,214,57,80,15,0,16,69,13,30,44,10,6
Logan Tribble,Wofford,SR,LF,0.374,0.482,0.48,0.961,56,250,198,47,74,16,1,1,45,7,37,35,14,1
Drew Barragan,UNLV,SR,3B,0.374,0.46,0.687,1.147,53,251,211,60,79,15,6,13,60,8,28,50,3,0
Andreaus Lewis,Manhattan,GR,C,0.374,0.445,0.632,1.077,47,200,174,31,65,13,1,10,40,0,24,24,3,1
Eli Stephens,Mercer,SO,RF,0.374,0.476,0.749,1.224,54,227,187,48,70,8,1,20,64,3,35,55,1,1
Jake Long,Utah,JR,LF,0.374,0.445,0.626,1.07,51,247,211,48,79,16,2,11,58,5,25,31,5,2
Enzo Infelise,Cincinnati,FR,DH,0.374,0.441,0.551,0.992,59,256,227,38,85,10,0,10,48,11,17,54,2,0
Troy Sudbrook,Toledo,JR,3B,0.373,0.467,0.665,1.132,60,289,236,65,88,32,2,11,71,15,30,40,13,5
Alex Kelsey,Saint Joseph&#8217;s,SO,CF,0.373,0.489,0.507,0.996,55,268,217,62,81,14,3,3,35,19,31,27,22,4
Garrett Larsen,Yale,JR,LF,0.372,0.459,0.527,0.985,46,223,188,49,70,16,2,3,32,16,14,18,26,4
AJ Swader,Bellarmine,GR,1B,0.372,0.455,0.657,1.112,53,244,207,44,77,20,3,11,59,6,28,19,2,1
Owen Hull,North Carolina,JR,CF,0.372,0.493,0.565,1.058,60,282,223,52,83,20,1,7,79,11,45,39,17,5
Caden Ferraro,Texas Tech,JR,DH,0.372,0.481,0.601,1.082,52,233,188,44,70,19,0,8,45,3,39,36,1,0
Caleb Koskie,Indiana,SO,LF,0.372,0.461,0.568,1.029,45,182,148,28,55,11,0,6,42,9,19,23,2,0
Andrew Gauna,San Diego,GR,RF,0.37,0.457,0.565,1.023,49,223,184,35,68,16,1,6,51,10,24,32,8,3
Javier Gorostola,Florida Gulf Coast,SO,3B,0.37,0.439,0.621,1.06,54,255,219,46,81,14,1,13,56,9,22,21,1,0
Joseph Mennella,Wagner,JR,1B,0.37,0.488,0.63,1.117,53,240,189,46,70,5,1,14,67,4,43,42,4,1
Dylan Immel,Wagner,JR,2B,0.37,0.449,0.495,0.944,49,219,184,39,68,18,1,1,47,4,25,24,11,0
Tracer Lopez,Texas Tech,SR,2B,0.369,0.431,0.507,0.938,55,264,217,57,80,21,3,1,39,0,30,37,6,2
Reece Moroney,Rhode Island,JR,SS,0.369,0.426,0.492,0.918,57,272,244,47,90,19,1,3,49,2,24,46,8,3
Tristan Curless,East Tennessee State,SR,1B,0.369,0.462,0.66,1.122,53,247,206,49,76,13,1,15,63,6,32,43,2,1
Travis Sanders,Baylor,JR,SS,0.369,0.458,0.586,1.043,54,260,222,49,82,15,3,9,44,2,35,64,24,6
Caden Miller,UTSA,SO,1B,0.369,0.514,0.626,1.141,58,278,206,68,76,22,2,9,56,14,53,36,13,3
Miguel Oropeza,Alabama State,GR,RF,0.367,0.465,0.624,1.09,57,275,221,57,81,19,1,12,67,18,29,33,5,0
Andrew Duncan,Wright State,JR,CF,0.367,0.436,0.577,1.012,54,243,215,44,79,11,8,6,36,5,21,46,19,3
Tre Phelps,Georgia,JR,3B,0.367,0.491,0.668,1.16,61,292,229,78,84,10,1,19,57,36,23,40,8,0
Case Sanderson,Nebraska,JR,1B,0.367,0.49,0.54,1.029,60,286,226,60,83,17,2,6,49,16,41,67,5,1
Jose Fernandez,Bethune-Cookman,JR,DH,0.367,0.435,0.657,1.091,47,192,166,38,61,12,0,12,52,14,8,29,7,4
Thomas Ealey,Norfolk State,SO,CF,0.367,0.423,0.417,0.841,49,224,199,48,73,4,3,0,20,2,19,30,35,6
Nu’u Contrades,Arizona State,JR,2B,0.366,0.432,0.762,1.194,53,227,202,48,74,15,1,21,61,5,19,28,10,0
Colby Turner,Michigan,JR,2B,0.366,0.432,0.625,1.057,57,264,232,57,85,18,0,14,55,7,22,29,12,3
Ashton Kampa,Illinois-Chicago,JR,LF,0.366,0.425,0.747,1.173,50,214,186,46,68,17,0,18,50,8,15,20,4,1
Cole Hansen,California Baptist,FR,DH,0.366,0.404,0.541,0.945,52,224,205,30,75,13,1,7,44,2,13,36,2,0
Kade Dupont,UL Monroe,SR,3B,0.365,0.48,0.5,0.98,52,225,178,43,65,15,0,3,34,22,19,16,7,4
Thomas Zwirecki,Canisius,JR,C,0.365,0.48,0.56,1.04,45,200,159,30,58,11,1,6,47,7,31,27,3,1
Landon Lowe,Bradley,GR,LF,0.364,0.453,0.54,0.993,56,238,198,40,72,20,0,5,39,14,20,41,9,5
Luke Nixon,NC State,JR,2B,0.364,0.45,0.593,1.044,56,257,214,59,78,16,3,9,45,4,31,36,11,5
Kelvin Agosto,Gardner-Webb,SR,LF,0.364,0.432,0.578,1.009,55,234,206,48,75,14,0,10,55,3,23,22,14,9
Jon Embury,Florida Gulf Coast,SO,C,0.364,0.429,0.655,1.084,52,254,220,52,80,13,0,17,60,9,20,40,2,0
John Beverley,Georgia State,SO,CF,0.364,0.421,0.469,0.89,56,243,209,47,76,6,2,4,42,3,20,41,35,6
Steven Smith,Appalachian State,GR,SS,0.363,0.439,0.563,1.003,47,223,190,48,69,18,1,6,50,17,12,24,4,1
Davis Mauzy,UL Monroe,SR,CF,0.363,0.457,0.502,0.959,55,259,215,51,78,12,3,4,39,12,27,44,10,5
Rickey Sanchez,Gonzaga,GR,SS,0.363,0.466,0.513,0.979,51,234,193,42,70,13,2,4,34,3,36,28,0,0
Ryan Tayman,Cal Poly,JR,C,0.362,0.453,0.681,1.134,61,278,232,53,84,18,1,18,56,11,30,47,1,1
Jake Schaffner,North Carolina,JR,SS,0.362,0.478,0.579,1.057,59,295,235,76,85,19,7,6,44,16,40,27,25,3
Jet Gilliam,Utah,JR,CF,0.362,0.446,0.5,0.946,51,225,188,41,68,8,0,6,36,4,27,41,10,1
Bino Watters,Notre Dame,SO,LF,0.362,0.447,0.61,1.057,53,253,218,46,79,18,3,10,51,7,27,37,5,2
Nick Zampieron,Stony Brook,SO,CF,0.362,0.439,0.414,0.853,45,207,174,40,63,7,1,0,24,11,16,23,27,7
Mason Roell,Indiana State,SO,3B,0.362,0.473,0.626,1.098,43,201,163,44,59,11,1,10,47,13,23,36,9,3
Hunter Warren,Wright State,SO,2B,0.361,0.437,0.529,0.965,55,268,227,50,82,12,1,8,41,8,27,23,15,7
Jake Wrubleski,Gonzaga,JR,C,0.361,0.445,0.571,1.017,41,157,133,34,48,13,0,5,26,5,16,33,3,0
Nick Hockemeyer,Arkansas-Pine Bluff,JR,CF,0.361,0.481,0.434,0.915,44,157,122,29,44,6,0,1,29,5,26,16,7,2
Braden Burress,East Carolina,SO,2B,0.361,0.46,0.482,0.942,63,300,249,72,90,13,4,3,32,8,39,27,12,3
Nin Burns II,UNLV,SR,RF,0.36,0.455,0.63,1.085,50,233,189,54,68,15,3,10,55,9,29,40,7,1
Gable Mitchell,Iowa,SR,2B,0.36,0.452,0.535,0.987,56,270,228,59,82,15,5,5,43,9,31,18,15,4
Charlie Scholvin,Toledo,JR,SS,0.36,0.488,0.522,1.01,61,293,228,68,82,18,2,5,50,31,29,21,25,4
Ian McCubbin,Morehead State,JR,RF,0.36,0.414,0.68,1.094,45,192,175,34,63,11,3,13,55,4,12,47,3,1
Logan Fyffe,Missouri State,SO,SS,0.359,0.417,0.592,1.01,51,230,206,49,74,21,0,9,43,11,11,23,6,1
Aaron Grant,Arkansas-Pine Bluff,FR,SS,0.359,0.434,0.587,1.021,51,227,184,46,66,14,2,8,49,6,26,30,6,1
Dylan Winebrenner,Richmond,GR,1B,0.358,0.468,0.642,1.11,57,269,218,60,78,12,1,16,58,21,26,43,9,7
Michael Anderson,Penn State,SR,DH,0.358,0.47,0.742,1.212,50,232,190,43,68,11,1,20,53,18,23,30,2,0
Charlie Evans,Appalachian State,SR,CF,0.358,0.427,0.503,0.93,46,190,159,36,57,9,4,2,30,8,14,23,10,2
Chipper Beck,Utah Valley,SR,3B,0.358,0.443,0.519,0.962,52,222,187,32,67,14,2,4,36,9,22,36,6,3
Drew Burress,Georgia Tech,JR,CF,0.358,0.473,0.657,1.13,61,311,254,82,91,22,3,16,60,7,49,43,10,4
Graham Mastros,Illinois State,JR,2B,0.358,0.422,0.628,1.05,53,251,218,46,78,13,2,14,48,5,22,66,12,3
Peyton Woods,Southeastern Louisiana,JR,RF,0.358,0.465,0.537,1.002,51,199,162,42,58,11,0,6,27,15,19,39,0,0
Jake Russo,New Haven,JR,C,0.358,0.476,0.514,0.989,42,188,148,36,53,13,2,2,19,17,19,26,10,1
Dasan Harris,Oklahoma,JR,RF,0.358,0.426,0.533,0.959,45,141,120,27,43,6,3,3,19,2,15,23,18,1
Ben Cleary,Santa Clara,JR,SS,0.358,0.452,0.5,0.952,47,211,176,39,63,10,0,5,30,7,24,24,8,2
Anthony Pack Jr.,Texas,FR,LF,0.358,0.476,0.602,1.078,56,252,201,54,72,16,0,11,52,6,42,34,19,2
Landon Akers,Bellarmine,FR,SS,0.357,0.421,0.536,0.956,52,254,224,55,80,15,2,7,40,7,19,20,13,2
Owen Bond,St. Thomas,JR,RF,0.357,0.48,0.554,1.034,44,197,157,27,56,7,9,2,27,6,32,31,7,0
Dee Kennedy,Kansas State,JR,SS,0.357,0.461,0.733,1.194,57,272,221,70,79,17,3,20,69,8,38,50,22,4
Jamison Howland,Stonehill,JR,LF,0.357,0.436,0.49,0.925,37,163,143,29,51,10,0,3,29,4,16,30,9,5
Quade Peters,Eastern Illinois,GR,CF,0.357,0.442,0.407,0.85,46,172,140,33,50,3,2,0,24,2,21,19,14,0
Zak Skinner,UCF,SR,C,0.357,0.435,0.502,0.938,54,240,207,41,74,8,2,6,41,6,24,35,2,0
Alex Conover,Oklahoma State,JR,LF,0.357,0.476,0.625,1.101,57,277,224,64,80,14,2,14,37,7,44,44,16,4
Kyeler Thompson,Texas Tech,JR,CF,0.357,0.452,0.488,0.94,51,255,213,55,76,15,2,3,25,12,25,33,27,6
Lane Arroyos,Western Kentucky,JR,1B,0.357,0.469,0.577,1.047,55,260,213,43,76,24,1,7,53,3,43,49,5,0
Cole Smith,Northern Illinois,SR,2B,0.357,0.438,0.583,1.02,49,242,199,48,71,19,4,6,50,1,33,38,9,3
Cam Pruitt,Lipscomb,JR,3B,0.357,0.393,0.507,0.9,54,236,213,29,76,18,4,2,48,1,15,31,15,7
Hogan Denny,Indiana,SO,RF,0.357,0.452,0.647,1.099,51,248,207,63,74,18,0,14,44,10,28,32,11,3
Wyatt Hanoian,Air Force,FR,2B,0.357,0.498,0.573,1.071,53,245,185,49,66,14,4,6,49,24,32,21,6,3
Wyatt Wawro,Northern Illinois,FR,LF,0.357,0.491,0.446,0.937,49,224,168,51,60,8,2,1,24,8,39,29,5,4
Cameron Gurney,Utah,JR,1B,0.356,0.461,0.539,1,50,230,191,42,68,10,2,7,48,9,28,27,7,3
Ryan Hunter,Southern,JR,RF,0.356,0.425,0.532,0.958,52,247,216,54,77,16,5,4,42,7,21,55,16,5
Erick Dessens,Sacramento State,JR,RF,0.356,0.407,0.563,0.969,59,269,247,50,88,17,2,10,64,2,19,36,7,3
Jake Souders,Samford,SO,RF,0.356,0.431,0.575,1.006,56,254,219,48,78,13,1,11,46,7,24,45,17,4
Jayson Jones,Wichita State,SR,3B,0.355,0.43,0.583,1.014,58,265,228,54,81,7,0,15,56,12,21,35,1,0
Dylan Melton,UMBC,FR,1B,0.355,0.465,0.455,0.92,53,259,211,53,75,16,1,1,31,6,38,14,5,1
Cade Sanchez,Texas A&#038;M-Corpus Christi,GR,2B,0.355,0.438,0.488,0.926,46,201,172,28,61,11,0,4,31,9,18,28,11,1
Jayce Dobie,Nevada,SR,1B,0.355,0.42,0.55,0.97,49,238,211,46,75,15,1,8,41,2,23,36,4,2
Jamie Laskofski,William &#038; Mary,SO,SS,0.355,0.464,0.665,1.129,52,251,203,65,72,12,6,13,45,3,41,24,36,7
Brayden Jefferis,Michigan,SO,3B,0.355,0.455,0.491,0.946,58,257,214,32,76,8,3,5,43,13,27,26,7,4
Tague Davis,Louisville,SO,1B,0.355,0.443,0.848,1.292,57,273,231,68,82,10,1,34,98,3,36,70,4,0
Kade Lewis,Wake Forest,JR,1B,0.354,0.444,0.592,1.036,59,268,223,57,79,12,1,13,58,6,34,35,7,0
AJ Gracia,Virginia,JR,CF,0.354,0.489,0.632,1.121,56,273,212,65,75,15,1,14,48,11,47,38,4,2
Khalil Walker,New Mexico,GR,CF,0.354,0.46,0.5,0.96,51,219,178,40,63,15,1,3,37,7,29,22,8,4
Charley Magoulick,Rider,SO,1B,0.354,0.4,0.574,0.974,49,230,209,38,74,11,4,9,48,1,17,41,1,0
Makoa Sniffen,Saint Mary&#8217;s,SO,1B,0.354,0.405,0.573,0.978,62,299,274,52,97,19,4,11,64,11,13,33,10,5
Julio Solier,Boston College,SO,SS,0.354,0.434,0.498,0.932,59,278,237,57,84,15,5,3,34,5,30,45,28,4
Isaac Brozon,Le Moyne,FR,3B,0.354,0.458,0.409,0.866,42,202,164,48,58,4,1,1,32,17,17,18,15,2
Nathan Lincoln,Marist,GR,LF,0.353,0.432,0.386,0.818,53,242,207,37,73,3,2,0,51,6,25,25,7,1
Niko Brini,Wofford,SR,CF,0.353,0.426,0.606,1.032,56,263,221,60,78,18,7,8,53,15,16,28,15,1
Dylan Carey,Nebraska,SR,SS,0.353,0.428,0.622,1.05,59,278,241,53,85,16,2,15,65,12,21,49,9,2
Mac Moyer,Nebraska,JR,CF,0.353,0.457,0.473,0.93,60,292,241,65,85,13,2,4,38,8,40,35,8,4
Gunnar Myro,UNLV,JR,3B,0.353,0.401,0.49,0.891,43,169,153,32,54,10,1,3,29,5,8,26,1,1
Seojun Oh,High Point,JR,DH,0.353,0.449,0.672,1.121,56,247,204,49,72,14,0,17,60,3,36,44,3,1
Xavier Melendez,UT Arlington,SR,2B,0.353,0.403,0.502,0.906,50,238,215,29,76,11,0,7,44,4,16,41,4,1
Connor Shouse,Texas Tech,SO,3B,0.353,0.431,0.595,1.026,53,248,215,55,76,18,2,10,66,13,17,39,6,0
Zachary Kourous,Mercyhurst,SR,2B,0.352,0.416,0.572,0.989,40,186,159,42,56,11,3,6,38,5,16,7,20,1
Michael Maloney,Western Michigan,GR,SS,0.352,0.464,0.487,0.951,52,240,193,50,68,6,1,6,55,18,24,29,2,2
Brayden Martin,Maryland,JR,3B,0.352,0.488,0.449,0.937,56,286,216,60,76,13,1,2,39,7,56,20,21,3
Teddy Tokheim,Stanford,FR,DH,0.352,0.414,0.704,1.118,48,222,199,40,70,19,0,17,47,1,21,36,0,1
Ryan Ellis,Sacramento State,SR,DH,0.351,0.491,0.59,1.081,46,178,134,45,47,19,2,3,33,3,36,30,1,1
Maddox Haley,Gonzaga,JR,DH,0.351,0.412,0.608,1.021,43,194,171,39,60,14,0,10,44,9,11,21,5,1
Jayce Tharnish,Kentucky,JR,CF,0.351,0.412,0.506,0.918,56,267,239,64,84,13,3,6,37,8,18,34,32,2
Miles Jackson,Alabama A&#038;M,JR,LF,0.351,0.458,0.465,0.923,51,231,185,38,65,12,3,1,30,14,25,16,11,2
Bryce Cermenelli,Missouri State,GR,2B,0.351,0.41,0.476,0.886,47,213,191,40,67,12,0,4,23,3,16,12,1,0
Ryan Niedzwiedz,SIU Edwardsville,JR,1B,0.351,0.427,0.768,1.195,57,262,228,59,80,14,0,27,69,1,31,35,1,2
Nathan Kearney,Stonehill,JR,1B,0.351,0.454,0.433,0.887,45,207,171,36,60,8,0,2,43,8,26,19,1,2
Braden Holcomb,Vanderbilt,JR,CF,0.351,0.434,0.618,1.052,58,266,228,52,80,19,0,14,54,0,35,63,6,2
Ian Armstrong,Saint Mary&#8217;s,SO,C,0.351,0.416,0.654,1.069,58,256,228,53,80,17,2,16,51,3,23,46,3,1
Brody Chrisman,Akron,SO,RF,0.35,0.447,0.593,1.04,55,253,214,52,75,13,0,13,52,6,32,32,23,4
Nick Matson,Long Island,JR,CF,0.35,0.426,0.458,0.884,51,238,203,52,71,11,1,3,43,1,28,25,22,5
Efrain Morales,Old Dominion,SO,DH,0.35,0.471,0.421,0.893,43,174,140,24,49,7,0,1,23,9,24,14,2,1
Griffin Crain,Louisville,SO,LF,0.35,0.476,0.475,0.95,52,231,177,41,62,14,1,2,48,10,36,24,8,4
Mika Petersen,Brown,SR,CF,0.349,0.435,0.554,0.989,43,200,166,35,58,10,3,6,34,4,22,29,13,1
Caden Dulin,Pittsburgh,SR,SS,0.349,0.43,0.564,0.994,53,257,218,60,76,11,0,12,44,1,33,29,3,3
Drew Howard,Western Michigan,SR,2B,0.349,0.439,0.44,0.879,52,251,209,43,73,10,3,1,40,9,26,31,7,2
Mike O'Conor,Eastern Illinois,SR,DH,0.349,0.421,0.734,1.154,45,197,169,40,59,13,2,16,58,4,19,44,8,0
Chris Diprima,Yale,JR,RF,0.349,0.443,0.391,0.834,46,217,169,39,59,7,0,0,40,12,23,18,6,3
Aaron Piasecki,Troy,SR,RF,0.349,0.459,0.536,0.996,65,318,261,59,91,16,3,9,45,17,38,22,9,0
Jimmy Janicki,Troy,SO,C,0.349,0.422,0.663,1.085,65,301,261,62,91,23,1,19,85,7,29,40,4,2
Derek Curiel,LSU,SO,CF,0.349,0.427,0.522,0.949,58,274,232,64,81,18,2,6,46,2,34,43,13,2
Henry Zipay,Omaha,GR,3B,0.348,0.446,0.436,0.882,47,223,181,33,63,11,1,1,27,7,25,34,7,5
Jake Jackson,San Diego State,JR,CF,0.348,0.413,0.626,1.039,56,262,230,54,80,18,2,14,48,7,20,58,9,5
Brady Nathison,Towson,JR,RF,0.348,0.429,0.538,0.966,43,155,132,35,46,8,1,5,32,3,17,21,10,2
Garrett Wright,Tennessee,JR,CF,0.348,0.439,0.594,1.032,48,221,187,41,65,17,1,9,30,19,13,37,3,5
AJ Evasco,Kansas State,SO,RF,0.348,0.415,0.548,0.962,52,234,210,39,73,10,4,8,51,5,19,30,5,3
Payton Knowles,Seattle,JR,1B,0.347,0.45,0.54,0.99,49,243,202,42,70,17,2,6,33,5,34,23,4,0
Petey Soto Jr.,Utah Tech,FR,SS,0.347,0.405,0.505,0.909,59,256,222,51,77,15,1,6,48,7,18,35,13,2
Carter Beck,Indiana State,JR,CF,0.347,0.446,0.64,1.085,57,285,236,62,82,17,2,16,58,10,35,33,12,4
Aiden Robbins,Texas,JR,CF,0.347,0.435,0.721,1.156,55,260,219,63,76,9,2,23,62,2,35,57,12,1
Cole Raile,VMI,JR,C,0.347,0.435,0.663,1.099,54,239,202,55,70,12,2,16,61,12,22,44,24,2
Gavin Roy,Washington State,SR,2B,0.347,0.446,0.457,0.902,59,271,219,47,76,16,1,2,42,14,29,31,3,2
Miguel Morales,Texas Southern,SR,C,0.347,0.481,0.411,0.892,38,161,124,29,43,3,1,1,33,6,27,9,7,5
Aidan Lopez,Grambling,JR,DH,0.347,0.484,0.467,0.951,51,226,167,43,58,7,5,1,39,12,37,24,8,4
Bennett Cox,Canisius,FR,DH,0.347,0.424,0.432,0.856,47,206,176,43,61,10,1,1,22,9,17,10,20,1
Jaxon Pate,Jacksonville State,SO,CF,0.347,0.458,0.438,0.896,63,277,219,53,76,14,0,2,30,6,42,38,9,5
Patrick McLellan,Southern Indiana,SR,1B,0.347,0.444,0.489,0.933,58,270,225,59,78,15,1,5,49,15,26,22,7,2
Josiah Hall,Southeast Missouri State,SO,DH,0.347,0.439,0.582,1.022,57,265,225,53,78,17,0,12,54,14,24,39,3,1
Carlos Lugo,Campbell,FR,LF,0.347,0.441,0.495,0.936,56,262,222,49,77,13,1,6,38,6,32,22,11,3
Rominic Quiban,Nevada,JR,CF,0.347,0.427,0.462,0.89,50,235,199,47,69,13,2,2,29,3,28,26,5,3
Noah Sullivan,Mississippi State,GR,DH,0.346,0.449,0.578,1.027,55,254,211,57,73,13,0,12,45,8,33,59,10,2
Ben Niednagel,Air Force,SR,SS,0.346,0.454,0.543,0.997,55,255,208,50,72,16,5,5,34,5,36,37,24,6
Paul Schoenfeld,West Virginia,GR,CF,0.346,0.441,0.513,0.954,58,276,228,44,79,18,4,4,48,3,38,33,23,6
Luciano Terilli,George Mason,GR,CF,0.346,0.446,0.418,0.864,56,254,208,36,72,10,1,1,42,7,33,35,15,9
Jonathan Trejo,Texas Southern,JR,SS,0.346,0.46,0.519,0.978,42,202,162,41,56,4,0,8,36,7,28,18,2,2
Tyson LeBlanc,Kansas,JR,SS,0.346,0.432,0.711,1.143,61,297,246,63,85,12,3,24,68,3,38,49,11,1
Nico Rijo-Berger,Nicholls,JR,DH,0.346,0.418,0.457,0.874,43,182,162,25,56,9,0,3,27,3,17,27,3,0
