Player,Team,Class,W,L,ERA,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,K,HBP,BA
Andrew Johnson,Southern California,SO,8,2,3.46,21,11,0,0,0,80.2,74,36,31,27,79,5,0.238
Will Sanford,Oregon,SO,9,2,3.46,16,16,0,0,0,80.2,51,34,31,41,119,13,0.175
Chase Topolski,Richmond,SR,4,3,3.51,15,10,0,0,2,66.2,51,28,26,32,66,11,0.213
Dylan Marionneaux,Northwestern State,JR,4,2,3.51,14,14,2,0,0,84.2,74,37,33,18,81,5,0.233
Andreas Alvarez,Auburn,SO,10,3,3.52,15,15,1,0,0,79.1,71,41,31,30,103,5,0.237
Zach Todd,Pacific,JR,5,2,3.53,15,14,0,0,0,81.2,62,33,32,42,85,12,0.215
Ben Blair,Liberty,JR,7,5,3.53,16,16,0,0,0,94.1,80,41,37,17,113,11,0.224
Matthew Cuccias,Wichita State,JR,4,3,3.53,16,15,0,0,1,74,56,40,29,33,76,9,0.201
Luc Rising,Northeastern,SR,5,5,3.54,16,13,0,0,0,81.1,64,38,32,24,84,12,0.213
Matthew Mariano,Albany,SR,5,2,3.56,15,0,0,0,1,65.2,57,30,26,23,41,7,0.239
Bryan Peck,California Baptist,GR,7,2,3.56,16,15,0,0,1,73.1,67,32,29,21,66,5,0.243
James Litman,Florida Atlantic,SO,8,3,3.56,15,15,1,0,0,83.1,83,34,33,38,80,4,0.256
Tegan Kuhns,Tennessee,SO,5,5,3.56,15,14,1,1,0,81,80,35,32,16,106,6,0.253
Hunter Dietz,Arkansas,SO,7,4,3.57,16,16,1,0,0,85.2,71,40,34,31,131,7,0.221
Myles Upchurch,Alabama,FR,8,3,3.57,15,15,0,0,0,70.2,50,29,28,40,77,11,0.198
PJ Craig,Rider,SR,9,3,3.59,16,15,2,0,0,102.2,90,44,41,42,90,8,0.239
Ty Brachbill,High Point,JR,11,2,3.59,15,15,3,1,0,90.1,84,42,36,24,81,4,0.245
Nathan Taylor,Cincinnati,JR,7,3,3.6,16,16,0,0,0,90,80,47,36,27,115,6,0.235
Miles Gosztola,Oregon,JR,3,3,3.61,17,10,0,0,0,62.1,52,25,25,25,69,7,0.228
Mason Pennington,Southeast Missouri State,SR,7,3,3.61,16,15,0,0,1,77.1,71,37,31,21,71,11,0.242
Luke Lang,Iona,FR,5,3,3.61,12,8,0,0,0,52.1,50,22,21,26,54,4,0.254
Christian Aiello,Rider,SR,8,3,3.64,21,3,0,0,1,54.1,45,23,22,22,71,6,0.22
Bradley Zayac,Liberty,SO,9,1,3.64,16,15,0,0,0,84,81,38,34,21,69,7,0.259
Zack James,TCU,SO,6,0,3.64,15,8,0,0,0,59.1,60,24,24,19,48,6,0.264
Beau Bryans,Jacksonville State,SR,7,1,3.66,15,15,0,0,0,66.1,54,32,27,44,78,13,0.226
Sean Davis,Iona,SR,5,3,3.67,17,0,0,0,2,49,46,22,20,17,36,5,0.246
Carson Jasa,Nebraska,SO,10,2,3.7,16,16,2,0,0,87.2,67,39,36,47,117,13,0.213
Logan Rumberg,George Mason,SR,7,3,3.71,17,15,0,0,1,85,67,45,35,39,97,10,0.216
Aidan Donovan,Michigan State,SO,6,3,3.71,15,15,0,0,0,87.1,86,40,36,21,62,4,0.256
Lance Davis,TCU,FR,5,3,3.71,14,14,2,1,0,80,70,36,33,17,51,10,0.236
Harrison Engle,Fairfield,FR,7,2,3.71,19,10,0,0,1,63,48,31,26,43,59,3,0.207
Pierce Herrenbruck,Ohio State,JR,7,3,3.72,15,15,1,0,0,82.1,82,44,34,24,58,15,0.252
Spencer Stearns,SIU Edwardsville,JR,8,3,3.74,15,15,0,0,0,84.1,80,40,35,21,52,13,0.255
Caylon Dygert,UT Arlington,JR,6,6,3.74,14,14,0,0,0,84.1,84,41,35,32,62,3,0.256
Ethan Kleinschmit,Oregon State,JR,9,2,3.74,15,15,0,0,0,77,63,37,32,27,97,12,0.222
Hunter Sipe,VMI,SR,4,4,3.76,29,1,0,0,2,79,73,46,33,17,64,8,0.245
Oliver de la Torre,California,JR,5,5,3.76,14,14,1,0,0,81.1,70,43,34,23,72,6,0.233
Dylan Farley,Arkansas State,GR,7,3,3.76,14,14,0,0,0,55,46,26,23,28,30,14,0.231
Dylan Reid,Brown,SR,4,4,3.77,12,10,0,0,1,59.2,49,28,25,28,47,2,0.232
Ricky Ojeda,UC Irvine,JR,3,3,3.77,18,7,0,0,3,62,50,30,26,20,62,12,0.228
James Peterson,Alabama State,SO,7,1,3.77,30,6,0,0,4,88.1,102,56,37,31,56,11,0.289
Lucas Hartman,Virginia,GR,10,2,3.78,37,0,0,0,1,64.1,60,36,27,24,70,5,0.247
Ethan Lay,Sacramento State,SR,5,3,3.78,16,16,1,1,0,88,93,48,37,16,93,4,0.263
Cam Staton,Saint Mary&#8217;s,JR,4,3,3.78,20,7,0,0,3,66.2,63,37,28,33,66,5,0.244
Michael Senay,South Florida,FR,6,3,3.78,14,13,0,0,0,81,70,39,34,17,55,6,0.233
Hayden Frey,Toledo,FR,6,4,3.79,15,11,1,0,1,78.1,67,33,33,27,65,13,0.234
Brendan Holland,Jacksonville,GR,4,5,3.8,15,15,0,0,0,73.1,69,33,31,27,79,4,0.248
Kaden Segel,Portland,GR,5,2,3.8,19,4,0,0,3,64,72,30,27,12,46,3,0.286
Rohan Lettow,San Diego State,JR,6,1,3.81,15,15,0,0,0,78,74,39,33,26,93,6,0.251
Ean DiPasquale,Southern Indiana,SO,4,3,3.82,17,13,1,1,1,63.2,51,34,27,27,39,11,0.219
Taylor Rabe,Ole Miss,SO,5,3,3.84,15,9,0,0,2,63.1,55,27,27,10,90,6,0.229
Jace Gillmore,Santa Clara,JR,4,4,3.84,14,14,0,0,0,65.2,55,33,28,22,59,4,0.223
Zachary Robinson,UMBC,JR,7,3,3.84,14,14,2,2,0,77.1,88,42,33,21,48,10,0.286
Aiden Sims,Texas A&#038;M,SO,8,1,3.84,13,13,1,1,0,68,54,33,29,19,73,8,0.213
Caden Aoki,Georgia,GR,9,1,3.86,18,7,0,0,3,72.1,70,33,31,26,95,3,0.251
Connor Lockwood,Valparaiso,SR,4,8,3.86,14,14,5,1,0,93.1,115,56,40,9,59,5,0.298
Ruger Riojas,Texas,SR,5,2,3.86,15,15,1,1,0,70,60,30,30,15,106,3,0.226
Collin Valentine,Pepperdine,JR,3,6,3.86,15,14,0,0,0,67.2,76,35,29,25,30,8,0.292
Bryson Moore,Florida State,JR,6,2,3.86,14,14,0,0,0,67.2,58,32,29,25,65,5,0.23
Cole Carlon,Arizona State,JR,5,2,3.87,16,16,0,0,0,83.2,69,37,36,31,133,4,0.221
Joey Volchko,Georgia,JR,10,2,3.87,16,16,0,0,0,81.1,71,38,35,43,98,8,0.238
Shane Brinham,Michigan,FR,6,4,3.88,18,10,2,2,1,65,60,30,28,34,61,4,0.245
Gavin Perry,Western Kentucky,GR,8,2,3.89,15,15,1,1,0,85.2,87,39,37,19,83,2,0.264
Gavin Blachowicz,Nebraska,SO,4,4,3.89,16,15,1,0,0,69.1,65,39,30,27,81,9,0.251
Jaxon Lloyd,Longwood,GR,6,3,3.9,15,13,0,0,0,83,79,39,36,30,79,8,0.256
Joseph Webb,East Carolina,SR,5,5,3.9,30,4,0,0,3,67,45,37,29,33,84,10,0.191
Liam Watt,Dallas Baptist,SR,8,2,3.9,22,10,1,0,1,85.1,78,37,37,15,63,5,0.242
Alex Walsh,Jacksonville,SR,7,3,3.91,15,15,0,0,0,73.2,71,34,32,33,74,9,0.253
Will Bartkoski,Georgia State,SR,5,2,3.92,23,4,1,0,4,59.2,38,26,26,35,53,24,0.185
Drew Nelson,Brown,FR,6,3,3.93,12,12,0,0,0,71,75,37,31,25,40,6,0.277
Cade Townsend,Ole Miss,SO,5,3,3.94,14,14,0,0,0,64,55,33,28,22,88,4,0.223
Tony Neubeck,Indiana,GR,7,4,3.95,14,14,0,0,0,70.2,68,32,31,27,75,6,0.255
Robbie O'Connor,Northeastern,JR,10,2,3.95,16,16,1,1,0,84.1,67,41,37,21,59,28,0.22
Gavin Oswald,North Alabama,GR,8,3,3.96,23,0,0,0,1,61.1,56,27,27,26,54,5,0.25
Colby Barker,Merrimack,JR,10,3,3.97,15,9,1,0,0,76.2,70,32,34,40,59,6,0.242
Kellan Montgomery,UC Santa Barbara,SR,8,4,4,16,16,0,0,0,81,73,42,36,25,69,9,0.245
Andrelys Payamps,Iona,GR,1,5,4,10,10,0,0,0,54,53,35,24,27,69,6,0.259
Michael Harpster,East Tennessee State,JR,6,2,4,14,14,0,0,0,72,67,37,32,36,78,11,0.25
Griffin Naess,Cal Poly,JR,8,4,4,16,16,0,0,0,87.2,82,42,39,32,96,8,0.243
Josh Prieto,Texas Southern,SR,2,2,4,15,1,0,0,1,48.2,42,28,22,27,38,5,0.235
Hudson Rowan,Louisiana Tech,JR,6,4,4.01,17,15,0,0,0,74,53,40,33,43,65,11,0.204
Alex Lyon,College of Charleston,SR,3,1,4.02,23,0,0,0,2,65,64,32,29,12,30,9,0.259
Stormy Rhodes,Oklahoma State,SO,4,2,4.02,21,5,0,0,2,65,67,37,29,20,62,8,0.268
Grayden Harris,Southern Miss,SO,8,1,4.02,17,17,0,0,0,87.1,92,44,39,19,107,10,0.272
Finnegan Wall,UC Irvine,SR,3,5,4.03,14,12,0,0,0,58,67,31,26,19,47,6,0.293
Andrew Berg,Army,SR,6,3,4.03,13,13,2,0,0,82.2,84,49,37,28,58,6,0.261
Ty Horn,Nebraska,JR,3,3,4.03,22,12,0,0,1,82.2,76,39,37,26,87,7,0.241
Zane Adams,Alabama,JR,7,4,4.04,15,15,0,0,0,82.1,84,42,37,27,90,3,0.264
Maddux Frese,Iowa,JR,4,2,4.06,15,9,0,0,1,68.2,68,36,31,23,43,2,0.258
Kai Leckszas,Georgetown,SR,5,3,4.07,14,12,0,0,0,66.1,62,33,30,26,49,12,0.251
Clayton Burke,Miami (OH),GR,9,2,4.07,15,14,2,0,0,84,78,46,38,20,76,16,0.245
Ryan Lynch,North Carolina,SO,5,4,4.07,16,15,1,0,0,84,88,42,38,33,75,16,0.272
Dylan Smith,San Jose State,SR,3,4,4.08,12,12,1,0,0,68.1,71,31,31,18,50,11,0.267
Ethan Norby,East Carolina,JR,7,3,4.08,18,14,0,0,1,90.1,91,48,41,28,131,21,0.258
Jackson Hinchliffe,Richmond,JR,4,6,4.08,16,16,0,0,0,70.2,67,41,32,12,37,16,0.249
Jaxon Jelkin,Kentucky,JR,8,3,4.1,17,15,2,0,1,96.2,90,53,44,21,106,8,0.243
Spencer Seid,Georgetown,GR,6,6,4.1,14,13,0,0,0,79,66,44,36,28,79,8,0.226
Tanner Wiggins,Rice,SO,4,2,4.1,17,11,1,1,2,83.1,101,41,38,16,54,9,0.301
Isaac Herrera,Prairie View,SR,3,0,4.1,15,3,1,0,1,52.2,59,31,24,23,42,2,0.278
Chris Diaz,Florida Gulf Coast,JR,5,2,4.11,15,15,1,1,0,72.1,57,37,33,26,74,7,0.216
Serigne Sarre,Mount St. Mary&#8217;s,SO,4,4,4.11,14,13,0,0,0,70,68,37,32,33,90,8,0.247
Ben Rabatin,Kent State,SO,8,3,4.12,15,15,0,0,0,74.1,65,38,34,33,63,10,0.232
Ethan Sanders,Rice,FR,5,6,4.12,16,14,0,0,1,83,91,42,38,23,64,2,0.279
Griffen Paige,Wright State,JR,3,7,4.14,14,14,0,0,0,76,53,39,35,35,77,8,0.199
Gabe Gaeckle,Arkansas,JR,6,3,4.14,20,12,0,0,0,71.2,80,39,33,35,87,4,0.278
Harbersting Abreu,Bethune-Cookman,JR,6,4,4.14,15,15,0,0,0,71.2,86,42,33,27,65,4,0.299
David Lally Jr.,Michigan,SR,2,4,4.15,16,9,1,0,1,69.1,60,37,32,30,65,12,0.231
Tate McKee,Georgia Tech,JR,9,2,4.15,17,16,0,0,0,78,71,41,36,39,99,5,0.241
Tommy Scavone,Pepperdine,GR,4,3,4.16,14,13,0,0,0,71.1,63,34,33,19,60,13,0.243
Camden Wicker,UCF,JR,5,3,4.16,16,16,1,1,0,75.2,59,37,35,32,62,8,0.211
Carson Cormier,Illinois State,SO,4,2,4.17,16,10,0,0,0,69,83,34,32,12,74,5,0.305
Callen Powers,Massachusetts,JR,4,5,4.18,13,13,0,0,0,84,76,39,39,32,75,8,0.238
Nathan Aceves,UC Santa Barbara,SO,4,3,4.18,15,13,0,0,0,64.2,54,34,30,27,69,11,0.226
Branton Little,Wofford,SR,3,3,4.19,22,2,0,0,2,58,70,38,27,10,59,4,0.293
Eli Pillsbury,Jacksonville State,SR,6,3,4.19,16,16,0,0,0,77.1,68,42,36,29,89,9,0.236
Tadan Bell,East Tennessee State,JR,5,2,4.2,12,12,0,0,0,60,68,31,28,21,55,4,0.286
Max Hansmann,Evansville,SR,4,3,4.2,15,15,0,0,0,85.2,89,47,40,31,83,10,0.268
Ryan Castillo,New Mexico,JR,8,3,4.2,14,14,1,0,0,81.1,77,40,38,30,83,5,0.252
Cole Leaman,Lehigh,SR,1,6,4.21,12,12,0,0,0,47,41,33,22,34,54,7,0.232
Vincent Borghese,Rutgers,SR,4,5,4.21,15,10,0,0,1,62,65,32,29,27,62,3,0.264
Kevin Robinson,Northwestern State,JR,0,4,4.21,17,8,0,0,0,57.2,73,36,27,3,48,7,0.296
Jack Pineau,Creighton,JR,7,3,4.21,16,16,0,0,0,83.1,73,42,39,26,82,19,0.235
Wade Walton,High Point,SO,4,3,4.21,15,15,0,0,0,77,74,50,36,40,77,5,0.25
William Schmidt,LSU,SO,5,4,4.22,13,13,0,0,0,64,54,34,30,31,85,7,0.224
Charlie West,Connecticut,JR,6,6,4.23,15,15,0,0,0,87.1,86,48,41,37,111,11,0.253
Chet Lax,Wright State,JR,9,1,4.23,17,13,0,0,0,78.2,86,40,37,20,69,4,0.276
Tim Teixeira,SIU Edwardsville,SO,7,5,4.23,15,15,1,0,0,87.1,75,47,41,29,72,8,0.23
Mason Cook,Kansas,SO,5,1,4.23,17,12,0,0,0,66,57,35,31,26,65,12,0.233
Gabriel Barrett,San Francisco,SR,3,5,4.27,17,14,0,0,1,78,93,43,37,18,71,9,0.293
Bobby Mahoney,Cal State Fullerton,FR,2,3,4.28,15,10,0,0,0,61,50,34,29,29,40,17,0.23
Michael Barnett,UCLA,SR,6,0,4.31,16,16,0,0,0,71,64,36,34,29,58,8,0.244
David Horn Jr.,Middle Tennessee,SR,3,4,4.31,14,13,0,0,0,71,76,43,34,34,79,10,0.273
Garrett Lambert,Mercer,FR,5,1,4.31,15,15,0,0,0,71,58,39,34,28,90,14,0.217
Jaden Wywoda,Holy Cross,SR,6,5,4.32,16,15,5,2,1,98,85,50,47,26,81,13,0.23
Kide Adetuyi,Florida Atlantic,SO,2,3,4.32,17,13,0,0,0,73,62,38,35,32,85,2,0.228
Ricky Kidd,Western Michigan,GR,8,1,4.32,15,15,0,0,0,83.1,80,43,40,30,43,10,0.259
Brendon Miller,Fairfield,SO,4,1,4.32,19,9,0,0,0,58.1,58,36,28,36,66,13,0.254
Kyle Salvati,Central Connecticut,SR,2,2,4.33,12,12,2,0,0,70.2,61,37,34,33,72,7,0.233
Brady LeJeune-DeAcutis,UMBC,GR,2,4,4.34,17,9,0,0,0,58,62,38,28,27,34,11,0.276
Andrew Rubayo,Quinnipiac,SR,5,2,4.34,13,13,0,0,0,74.2,82,42,36,16,77,6,0.276
Nathan Love,Oral Roberts,SR,4,2,4.34,14,14,0,0,0,66.1,67,34,32,21,44,4,0.264
Brendan Conner,UAB,SO,4,3,4.35,24,3,0,0,2,60,58,33,29,29,39,2,0.246
Luke Harrison,Texas,GR,6,3,4.36,17,15,0,0,1,76.1,68,44,37,29,87,11,0.235
Nic Schutte,Murray State,SR,8,6,4.36,15,15,2,0,0,84.2,79,45,41,38,81,21,0.246
Cody Templeton,Stephen F. Austin,SR,6,1,4.36,14,14,0,0,0,74.1,84,41,36,30,72,7,0.287
Will Holmes,The Citadel,GR,7,4,4.37,17,17,0,0,0,92.2,64,50,45,53,120,12,0.201
Harry Cain,Kennesaw State,SR,3,3,4.37,20,6,0,0,4,57.2,48,31,28,15,59,4,0.219
J.J. Gatti,Old Dominion,JR,1,5,4.37,15,13,0,0,0,57.2,47,33,28,28,55,10,0.217
Adam Stanton,Charlotte,GR,4,1,4.38,23,0,0,0,2,61.2,65,33,30,20,47,8,0.265
Mason Lei,Illinois-Chicago,JR,8,5,4.38,16,16,2,0,0,95,107,56,46,19,86,8,0.279
Kevin Reavey,Army,SO,3,6,4.38,12,11,1,0,1,61.2,51,33,30,45,43,8,0.236
Luke Niemeyer,Lindenwood,FR,2,4,4.38,14,13,0,0,0,61.2,73,40,30,20,30,11,0.305
Daniel Gonzalez,South Alabama,JR,4,4,4.39,15,15,1,0,0,69.2,65,38,34,39,67,8,0.25
Ethan Minaker,CSU Bakersfield,JR,1,4,4.39,15,8,0,0,0,55.1,48,43,27,24,38,13,0.238
Amp Phillips,South Carolina,JR,3,8,4.39,14,14,0,0,0,67.2,60,39,33,36,71,2,0.235
Kaden Hilburger,Bryant,SR,3,2,4.4,12,12,1,0,0,59.1,54,31,29,15,38,3,0.239
Nathan Mertens,Southeast Missouri State,SR,7,2,4.4,17,5,1,0,3,61.1,63,32,30,4,55,5,0.265
Josh McDevitt,Missouri,JR,3,5,4.42,15,15,0,0,0,79.1,61,46,39,39,102,10,0.211
Jack Nelson,Arkansas State,GR,2,2,4.42,15,11,0,0,0,55.1,43,28,27,25,63,7,0.209
Hayden Bailey,Central Michigan,SR,3,4,4.42,16,15,1,1,0,73.1,62,41,36,37,55,15,0.231
Justin Mayes,Texas Southern,SR,5,3,4.42,11,11,1,0,0,57.1,59,33,28,26,86,12,0.266
Mark Scamardella,New Jersey Tech,GR,3,3,4.43,13,11,0,0,0,63,61,33,31,24,65,10,0.256
Steven Svenson,Seton Hall,SO,3,6,4.43,13,13,0,0,0,65,66,45,32,18,48,12,0.267
Evan Kleinhans,Columbia,SR,3,2,4.44,23,3,0,0,2,48.2,55,26,24,13,40,10,0.288
Andrew Malec,Mercyhurst,JR,3,1,4.44,12,11,0,0,0,56,47,30,28,44,47,4,0.219
A.J. Colarusso,Boston College,SR,5,4,4.45,16,16,1,0,0,83,91,52,41,24,77,7,0.276
Mitchell Heer,South Alabama,GR,5,3,4.46,15,15,0,0,0,82.2,86,46,41,29,74,13,0.269
Marty Coyne,Pennsylvania,JR,5,5,4.46,12,6,0,0,0,70.2,64,38,35,15,66,15,0.245
Gio Colasante,Harvard,SR,3,5,4.47,11,11,0,0,0,54.1,46,41,27,24,38,17,0.223
Joey Ruller,Queens (NC),JR,5,8,4.47,14,14,1,0,0,90.2,89,50,45,25,79,9,0.263
Max Winders,Butler,SO,4,4,4.48,15,10,1,0,1,70.1,71,39,35,12,61,3,0.258
Ethan Stade,Bowling Green,SR,3,4,4.5,14,10,0,0,1,64,53,40,32,20,103,14,0.22
Trey Beard,Florida State,JR,6,1,4.5,14,12,0,0,1,68,61,41,34,24,97,8,0.236
Kurt Barr,Michigan,SR,5,6,4.52,16,15,1,0,0,79.2,68,41,40,45,105,6,0.231
Oliver Pudvar,Connecticut,JR,7,4,4.54,16,14,2,2,0,75.1,86,42,38,22,50,6,0.289
Dylan Smith,Cal State Fullerton,SO,4,7,4.54,15,14,0,0,0,79.1,90,46,40,15,45,12,0.288
Peter Dubie,Brown,SR,3,4,4.55,12,12,0,0,0,65.1,58,38,33,34,65,9,0.241
Cole Fehrman,Saint Joseph&#8217;s,SR,5,3,4.56,15,15,1,0,0,77,71,44,39,30,99,17,0.247
Troy Shepard,Southern Illinois,SR,3,4,4.56,15,14,0,0,0,81.1,64,38,41,37,78,18,0.215
Kole Klecker,Arizona State,SR,7,2,4.57,14,13,0,0,0,69,65,38,35,24,78,3,0.245
Jason Krieger,Maine,JR,4,6,4.57,15,15,1,0,0,88.2,97,49,45,34,55,12,0.289
Connor Marshburn,UNC Wilmington,JR,4,6,4.57,15,15,0,0,0,80.2,80,49,41,29,81,14,0.258
Colin Trizuto,Wagner,SR,6,3,4.57,15,15,3,0,0,88.2,98,56,45,28,51,13,0.284
Noel Valdez,UC Davis,SR,1,6,4.58,14,14,0,0,0,70.2,96,40,36,25,60,1,0.337
Luke Jones,Coastal Carolina,SO,4,2,4.58,16,15,0,0,0,78.2,73,40,40,28,67,16,0.246
Liam Peterson,Florida,JR,3,6,4.59,16,16,1,0,0,84.1,84,47,43,36,111,1,0.258
Michael Fliss,Toledo,FR,5,1,4.59,19,10,0,0,2,64.2,64,38,33,33,83,12,0.262
Zach Erdman,Purdue,SR,4,1,4.6,15,15,0,0,0,72.1,95,46,37,16,61,4,0.319
Collin Clarke,Oregon,JR,6,3,4.6,17,13,1,0,0,76.1,72,44,39,19,75,15,0.246
Ty Brooks,Indiana State,SO,5,4,4.6,16,16,0,0,0,76.1,68,42,39,34,55,7,0.239
Eddie Sargent,UMBC,SR,5,3,4.62,14,14,1,1,0,72,78,40,37,37,44,6,0.284
Nick DiRito,Appalachian State,JR,5,2,4.63,16,12,1,0,2,81.2,86,43,42,27,91,9,0.272
Caleb Granger,Florida A&#038;M,GR,7,4,4.63,17,17,0,0,0,99.2,122,53,51,27,89,6,0.301
Brock Buckley,Butler,SR,4,9,4.63,17,13,1,0,1,79.2,92,48,41,21,75,11,0.293
Luke Meyers,Washington State,SR,4,5,4.63,18,14,0,0,0,81.2,94,53,42,22,65,8,0.29
Antonio Doganiero,Pittsburgh,SO,6,5,4.63,15,13,0,0,0,58.1,63,43,30,21,53,2,0.268
Noah Andrunas,Saint Louis,JR,4,4,4.64,13,13,0,0,0,64,70,40,33,11,32,5,0.278
Brett Renfrow,Virginia Tech,JR,5,4,4.64,15,15,0,0,0,73.2,72,39,38,25,88,6,0.254
Cam Bagwell,Wake Forest,SO,3,1,4.64,16,14,1,1,0,66,71,42,34,21,55,8,0.269
Evan Blanco,Tennessee,SR,7,4,4.65,16,16,0,0,0,89,80,50,46,29,101,7,0.235
Justin Kim,Princeton,SR,4,5,4.65,13,11,1,1,0,60,59,34,31,26,55,5,0.248
Jimmy Gilleran,Stonehill,SR,5,0,4.65,13,13,0,0,0,62,58,42,32,32,52,5,0.25
David James,St. Bonaventure,SR,2,7,4.66,14,14,2,1,0,75.1,76,51,39,32,72,7,0.262
Owen Stewart,George Mason,SR,5,4,4.66,23,4,0,0,5,58,55,31,30,32,69,10,0.252
Sam Fairhurst,Lehigh,JR,3,4,4.66,12,8,1,0,0,56,55,32,29,27,54,9,0.264
Andrew Carroll,Southeast Missouri State,JR,6,4,4.66,16,14,3,1,0,75.1,90,44,39,16,45,6,0.304
Mason Steele,UAB,JR,6,4,4.66,14,14,1,0,0,75.1,61,45,39,26,68,4,0.219
Gavin Kuzniewski,Ohio State,FR,6,3,4.66,15,15,1,1,0,83,70,50,43,40,69,15,0.226
Ty Madison,South Dakota State,SR,4,5,4.67,22,6,0,0,2,71.1,73,38,37,11,53,5,0.266
Smith Bailey,Arizona,SO,3,4,4.67,12,12,0,0,0,61.2,62,35,32,23,65,4,0.263
Everett Garber,Bucknell,SO,4,3,4.67,12,9,1,0,0,52,50,33,27,29,53,9,0.256
Kendall Hoffman,Houston,SO,3,6,4.67,15,14,0,0,0,79,84,52,41,19,55,12,0.268
Raymond Ladd,Radford,SO,3,1,4.68,15,15,0,0,0,59.2,62,41,31,20,57,8,0.263
Henry Zatkowski,Virginia,SO,8,2,4.68,18,12,0,0,0,84.2,76,52,44,25,96,10,0.237
Andrew Herrmann,Louisiana,GR,7,5,4.69,20,18,4,1,0,109.1,92,63,57,36,116,20,0.229
Karsten Sweum,Gonzaga,SO,8,2,4.69,15,15,1,1,0,78.2,69,45,41,36,110,7,0.23
Tanner Graham,Evansville,FR,2,6,4.69,16,10,0,0,3,63.1,69,36,33,25,51,14,0.271
Tyler Fay,Alabama,JR,10,4,4.7,16,16,1,1,0,95.2,83,51,50,21,112,14,0.232
Jake Drumm,George Mason,SO,4,3,4.71,17,11,0,0,1,70.2,82,40,37,15,68,4,0.292
Alec Couture,Monmouth,GR,6,3,4.72,15,14,1,0,0,80,95,55,42,21,63,5,0.298
Tyler Mudd,Boston College,GR,5,4,4.72,17,14,0,0,1,66.2,74,38,35,21,47,6,0.276
Luke Earnhardt,Winthrop,JR,5,3,4.72,14,14,0,0,0,66.2,59,42,35,37,79,9,0.238
Zane Brown,Belmont,JR,4,3,4.72,19,5,0,0,1,55,52,33,29,17,39,6,0.244
Talmadge Davis,Jackson State,SO,2,2,4.72,21,10,2,0,0,53.1,36,39,28,31,72,24,0.193
Cooper Cavanaugh,Davidson,JR,4,3,4.73,13,13,0,0,0,59,42,32,31,40,72,8,0.199
Noah Kenney,Washington,JR,4,7,4.74,15,14,0,0,0,81.2,74,48,43,37,90,8,0.238
Matthew O'Brien,UC Riverside,SR,3,7,4.75,14,14,1,0,0,77.2,86,51,41,32,40,8,0.28
James Hays,Stetson,JR,3,5,4.75,15,13,0,0,0,72,78,43,38,23,77,8,0.272
Matthew Kouser,Northwestern,SO,2,5,4.75,15,12,0,0,0,66.1,68,48,35,38,44,7,0.271
Jackson Thomas,Washington,GR,3,4,4.76,14,11,0,0,0,58.2,64,37,31,18,51,8,0.274
Justin Feld,Gonzaga,SR,8,2,4.77,16,11,0,0,1,66,62,37,35,31,62,10,0.249
Joseph Lee,Samford,SR,4,2,4.77,16,15,1,1,0,71.2,60,42,38,27,72,9,0.227
Max McCrary,Mount St. Mary&#8217;s,SR,5,3,4.78,27,0,0,0,1,52.2,42,28,28,19,54,8,0.222
Ashton Chronister,Xavier,JR,3,3,4.79,17,13,0,0,0,67.2,75,38,36,18,41,4,0.286
Kenney Fabian,Arkansas-Pine Bluff,SR,5,6,4.79,17,15,2,0,0,88.1,85,62,47,29,57,19,0.253
Chase Frey,Grand Canyon,JR,2,7,4.79,13,12,1,1,0,67.2,60,40,36,17,69,12,0.227
Sam Carlisle,Western Michigan,JR,4,5,4.8,15,14,0,0,0,60,60,34,32,32,67,6,0.258
Nathan Ries,UC San Diego,SO,3,3,4.81,18,6,1,1,0,58,62,33,31,20,45,3,0.274
Brady Hoar,Bucknell,FR,7,3,4.81,14,14,0,0,0,73,65,44,39,26,49,8,0.243
Dylan Banner,Albany,SR,2,6,4.83,14,14,3,0,0,85.2,100,59,46,21,69,8,0.276
Jacob Price,Eastern Kentucky,JR,6,3,4.83,15,14,0,0,0,85.2,88,53,46,23,67,6,0.263
Andrew Cutler,George Washington,JR,5,1,4.83,11,11,0,0,0,59.2,58,33,32,17,54,8,0.254
Ty Roman,Louisiana,JR,4,4,4.83,22,17,0,0,1,85.2,82,48,46,37,89,17,0.254
Owen Marsolek,St. Thomas,FR,6,3,4.83,13,13,1,0,0,76.1,74,43,41,30,82,12,0.251
Blake Lobell,Southeastern Louisiana,SR,4,2,4.84,14,14,3,1,0,74.1,79,45,40,25,57,6,0.272
Nick Hunkele,Merrimack,SO,2,4,4.85,15,11,0,0,1,66.1,63,29,36,23,59,11,0.248
Logan Knight,Cincinnati,SR,4,4,4.85,16,14,0,0,0,68.2,70,41,37,18,63,2,0.255
AJ Ciscar,Miami,SO,5,4,4.85,16,15,0,0,0,81.2,98,58,44,12,76,15,0.291
Tyler Lutz,James Madison,FR,4,5,4.85,16,11,0,0,0,65,77,34,35,14,45,6,0.297
Tyrell Williams,Presbyterian,JR,2,3,4.86,17,12,0,0,0,70.1,74,48,38,30,51,6,0.27
Kyle Batt,Rider,SO,4,5,4.86,16,15,0,0,0,74,86,47,40,37,35,15,0.303
Lincoln Sheffield,Kansas State,SR,8,4,4.87,16,15,2,0,0,88.2,101,56,48,20,79,7,0.285
Aric Ehmke,Milwaukee,SR,6,6,4.88,15,14,0,0,0,75.2,82,53,41,23,49,14,0.283
