Player,Team,Class,W,L,ERA,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,K,HBP,BA
Bryan Matuschat,Sacred Heart,SO,5,7,6.61,13,13,0,0,0,80.1,114,67,59,20,41,2,0.325
JC Dermody,UL Monroe,SR,5,6,6.63,13,13,2,0,0,58.1,75,45,43,27,51,11,0.314
Ben Smith,Houston Christian,SR,4,4,6.64,13,9,1,0,0,61,75,50,45,23,54,3,0.307
Mason Christopher,Seton Hall,SO,4,6,6.66,14,11,0,0,0,50,59,34,37,21,45,4,0.285
Dillon Kirksey,Coppin State,JR,3,7,6.69,15,14,0,0,0,72.2,94,84,54,32,58,12,0.303
Eric Rawlings,Western Illinois,SR,2,5,6.71,28,0,0,0,2,52.1,65,41,39,29,54,9,0.305
Zach Vriesenga,Western Michigan,JR,2,6,6.75,17,12,0,0,0,68,80,63,51,45,61,10,0.285
Jake Cullen,Rhode Island,SO,3,5,6.75,19,11,0,0,1,60,54,52,45,41,61,15,0.236
Garrison Sumner,BYU,SR,4,3,6.78,15,10,0,0,0,66.1,74,51,50,28,85,7,0.284
Owen Slater,Missouri State,SO,4,3,6.79,16,12,0,0,0,58.1,72,48,44,34,40,16,0.309
Colter McAnelly,Utah,JR,3,7,6.82,13,13,0,0,0,67.1,71,55,51,31,70,3,0.267
Davis Kahn,Harvard,FR,1,1,6.86,13,3,0,0,0,40.2,58,34,31,13,23,4,0.324
Keyon Guillory,Grambling,JR,3,5,6.88,16,16,1,0,0,69.1,83,63,53,46,56,7,0.297
Luke Richard,Mississippi Valley State,SO,3,7,6.88,16,10,0,0,0,69.1,109,71,53,31,48,6,0.353
Christian Charalambous,Presbyterian,SO,2,6,6.89,14,14,1,1,0,64,79,54,49,24,50,9,0.307
Cooper Consiglio,NC State,JR,3,5,6.9,16,11,0,0,3,60,64,56,46,29,71,7,0.27
Nicco Holland,Coppin State,JR,4,5,6.9,14,10,0,0,0,58.2,66,57,45,35,51,10,0.275
