Player,Team,Position,oRAR,oWAR,DRS,dWAR,pRAR,pWAR,WAR
,,,,,,,,,
Daniel Jackson,Georgia,C,70.98,5.23,11.31,0.83,0,0,6.06
Landon Hairston,Arizona State,LF,67.38,4.96,3.45,0.25,0,0,5.22
Vahn Lackey,Georgia Tech,C,67.02,4.94,9.9,0.73,0,0,5.66
Lorenzo Carrier,Pittsburgh,RF,60.65,4.47,5.72,0.42,0,0,4.89
Chris Katz,Mercer,LF,59.16,4.36,0.06,0,0,0,4.36
Jarren Advincula,Georgia Tech,2B,58.99,4.34,7.72,0.57,0,0,4.91
Tre Phelps,Georgia,3B,57.38,4.23,5.87,0.43,0,0,4.66
Kollin Ritchie,Oklahoma State,CF,57.07,4.2,-2.42,-0.18,0,0,4.02
Drew Burress,Georgia Tech,CF,56.71,4.18,7.8,0.57,0,0,4.75
Tague Davis,Louisville,1B,56.75,4.18,5.78,0.43,0,0,4.6
Brendan Lawson,Florida,SS,54.99,4.05,5.39,0.4,0,0,4.45
Carson Tinney,Texas,C,54.57,4.02,13.52,1,0,0,5.01
Carson Kerce,Georgia Tech,SS,54.57,4.02,6.82,0.5,0,0,4.52
Dee Kennedy,Kansas State,SS,54.28,4,11.18,0.82,0,0,4.82
Blake Primrose,Saint Joseph's,C,54.09,3.98,6.17,0.45,0,0,4.44
Quinton Coats,Cincinnati,1B,53.72,3.96,2.21,0.16,0,0,4.12
Logan Hughes,Texas Tech,LF,52.26,3.85,10.1,0.74,0,0,4.59
Jake Schaffner,North Carolina,SS,51.96,3.83,7.18,0.53,0,0,4.35
Hunter Ray,Fairleigh Dickinson,RF,51.55,3.8,0.86,0.06,0,0,3.86
Ryan Zuckerman,Georgia Tech,3B,51.3,3.78,15.99,1.18,0,0,4.96
Tyson LeBlanc,Kansas,SS,51.31,3.78,7.87,0.58,0,0,4.36
Caden Miller,UTSA,1B,51.26,3.77,6.2,0.46,0,0,4.23
Tyce Armstrong,Baylor,1B,50.82,3.74,5.55,0.41,0,0,4.15
Gavin Kelly,West Virginia,C,50.43,3.71,2.84,0.21,0,0,3.92
Aiden Robbins,Texas,CF,49.83,3.67,-5.15,-0.38,0,0,3.29
Caden Sorrell,Texas A&M,CF,49.65,3.66,2.65,0.2,0,0,3.85
Gavin Grahovac,Texas A&M,1B,48.96,3.61,10.06,0.74,0,0,4.35
Tommy Harrison,Miami (OH),RF,49.09,3.61,-6.15,-0.45,0,0,3.16
Aaron Piasecki,Troy,RF,48.85,3.6,4.73,0.35,0,0,3.95
Ace Reese,Mississippi State,3B,48.63,3.58,9.39,0.69,0,0,4.27
Jorsixt Jimenez,Tennessee Tech,RF,48.63,3.58,-5.47,-0.4,0,0,3.18
Alex Conover,Oklahoma State,LF,48.42,3.57,-0.47,-0.03,0,0,3.53
Marcus Dierks,Miami (OH),CF,48.41,3.56,2.7,0.2,0,0,3.76
Jimmy Janicki,Troy,C,47.75,3.52,11.95,0.88,0,0,4.4
AJ Gracia,Virginia,CF,47.68,3.51,7.22,0.53,0,0,4.04
Owen Hull,North Carolina,CF,47.41,3.49,9.24,0.68,0,0,4.17
Brayden Bakes,Illinois State,LF,46.99,3.46,-0.7,-0.05,0,0,3.41
Roch Cholowsky,UCLA,SS,46.82,3.45,15.29,1.13,0,0,4.57
TJ Grines,UT Martin,RF,46.79,3.45,5,0.37,0,0,3.81
Javar Williams,Wake Forest,CF,46.71,3.44,7.64,0.56,0,0,4
Danny MacDougall,Dayton,2B,46.75,3.44,4,0.29,0,0,3.74
Chase Fralick,Auburn,C,46.62,3.43,11.18,0.82,0,0,4.26
John Paul Head,UAB,LF,46.57,3.43,0.84,0.06,0,0,3.49
Jackson Marshall,Connecticut,1B,46.38,3.42,1.19,0.09,0,0,3.5
Alex Fernandes,San Jose State,RF,46.5,3.42,0.23,0.02,0,0,3.44
Anthony Pack Jr.,Texas,LF,46.1,3.39,-1.03,-0.08,0,0,3.32
Ryan Tayman,Cal Poly,C,45.89,3.38,15.83,1.17,0,0,4.54
Jack Cannon,Le Moyne,RF,45.59,3.36,6.65,0.49,0,0,3.85
Derek Williams,Miami,RF,45.5,3.35,-3.07,-0.23,0,0,3.12
Troy Sudbrook,Toledo,3B,45.32,3.34,8.11,0.6,0,0,3.93
Andrew Detlefsen,UTSA,LF,45.39,3.34,1.67,0.12,0,0,3.47
Case Sanderson,Nebraska,1B,45.19,3.33,8.75,0.64,0,0,3.97
Michael Anderson,Penn State,DH,45.22,3.33,0,0,0,0,3.33
Alex Sosa,Miami,C,45.03,3.32,8.01,0.59,0,0,3.91
Mulivai Levu,UCLA,1B,45.07,3.32,7.56,0.56,0,0,3.88
Jack Natili,Cincinnati,C,45.1,3.32,4.17,0.31,0,0,3.63
Tanner Griffith,Saint Mary's (CA),CF,45.11,3.32,2.76,0.2,0,0,3.53
Camden Kozeal,Arkansas,SS,44.84,3.3,15.13,1.11,0,0,4.42
Judd Utermark,Ole Miss,3B,44.62,3.29,7,0.52,0,0,3.8
Nu’u Contrades,Arizona State,2B,44.57,3.28,6.02,0.44,0,0,3.73
Ryan Niedzwiedz,SIUE,1B,43.39,3.2,6.02,0.44,0,0,3.64
Charlie Scholvin,Toledo,SS,43.26,3.19,0.66,0.05,0,0,3.23
Jacob Lee,VCU,C,43.14,3.18,0.19,0.01,0,0,3.19
Michael Smith Jr.,Dayton,CF,43.19,3.18,-4.75,-0.35,0,0,2.83
Dylan Carey,Nebraska,SS,43.03,3.17,15.25,1.12,0,0,4.29
Travis Sanders,Baylor,SS,42.81,3.15,9.91,0.73,0,0,3.88
Jack Herring,East Carolina,RF,42.34,3.12,8.16,0.6,0,0,3.72
Harrison Feinberg,Northeastern,LF,42.22,3.11,7.92,0.58,0,0,3.69
Eli Stephens,Mercer,RF,42.23,3.11,0.72,0.05,0,0,3.16
Diego Cardenas,Abilene Christian,DH,42.27,3.11,0,0,0,0,3.11
Jamie Laskofski,William & Mary,SS,42.07,3.1,5.92,0.44,0,0,3.53
Rayner Heinrich,Tarleton State,LF,41.89,3.08,4.02,0.3,0,0,3.38
Grayson Fitzwater,VMI,1B,41.7,3.07,5.64,0.42,0,0,3.49
Bear Harrison,Texas A&M,C,41.69,3.07,4.86,0.36,0,0,3.43
Dean Toigo,Arizona State,RF,41.59,3.06,0.97,0.07,0,0,3.13
Tanner Mally,Western Michigan,CF,41.51,3.06,0.13,0.01,0,0,3.07
Ethan Hindle,Kentucky,2B,41.43,3.05,8.22,0.61,0,0,3.66
Nash Rippen,North Alabama,LF,41.45,3.05,3.59,0.26,0,0,3.32
Evan Bottone,Marshall,CF,41.45,3.05,-6.54,-0.48,0,0,2.57
Kade Lewis,Wake Forest,1B,40.85,3.01,6.9,0.51,0,0,3.52
Chase Swain,La Salle,CF,40.88,3.01,-5.77,-0.42,0,0,2.59
Brodie Johnston,Vanderbilt,3B,40.7,3,13.86,1.02,0,0,4.02
Hogan Denny,Indiana,RF,40.78,3,0.66,0.05,0,0,3.05
Roman Martin,UCLA,3B,40.55,2.99,11.95,0.88,0,0,3.87
Braden Holcomb,Vanderbilt,CF,40.64,2.99,1.34,0.1,0,0,3.09
Rylan Lujo,Georgia,CF,40.45,2.98,3.65,0.27,0,0,3.25
Noah Sullivan,Mississippi State,DH,40.51,2.98,-0.02,0,0,0,2.98
Carter Beck,Indiana State,CF,40.27,2.97,6.85,0.5,0,0,3.47
Colby Turner,Michigan,2B,40.17,2.96,7.51,0.55,0,0,3.51
Mark Quatrani,Notre Dame,C,40.19,2.96,-5.26,-0.39,0,0,2.57
Ty Head,NC State,CF,40.12,2.95,10.95,0.81,0,0,3.76
Mike Mancini,Vanderbilt,2B,40.02,2.95,3.42,0.25,0,0,3.2
Joey Urban,Southern Miss,CF,40.08,2.95,2.1,0.15,0,0,3.11
Alex Hernandez,Georgia Tech,RF,39.94,2.94,4.69,0.35,0,0,3.29
Lane Arroyos,Western Kentucky,1B,39.86,2.94,1.35,0.1,0,0,3.03
Logan Shepherd,Mercer,1B,39.89,2.94,1.07,0.08,0,0,3.02
Will Baker,Georgia Tech,DH,39.88,2.94,-4.33,-0.32,0,0,2.62
Johnathan Gomez,Fairleigh Dickinson,SS,39.75,2.93,7.99,0.59,0,0,3.52
Braden Burress,East Carolina,2B,39.73,2.93,5.08,0.37,0,0,3.3
Drew Barragan,UNLV,3B,39.8,2.93,3.16,0.23,0,0,3.16
Dalton Wentz,Wake Forest,3B,39.76,2.93,3.07,0.23,0,0,3.15
Clay Burdette,Xavier,RF,39.61,2.92,2.15,0.16,0,0,3.08
Kyle Morrison,Southern Miss,2B,39.49,2.91,8.7,0.64,0,0,3.55
Andrew Williamson,UCF,RF,39.53,2.91,2.69,0.2,0,0,3.11
Matt Bucciero,Fairfield,RF,39.39,2.9,7.11,0.52,0,0,3.42
Brayden Martin,Maryland,3B,39.41,2.9,3.64,0.27,0,0,3.17
Curry Sutherland,Missouri State,3B,39.18,2.89,8.48,0.62,5.4,0.4,3.91
Michael Petite,VCU,CF,39.28,2.89,12.25,0.9,0,0,3.79
Blake Cavill,Troy,1B,39.22,2.89,7.76,0.57,0,0,3.46
Titan Kamaka,Mercer,SS,39.26,2.89,3.6,0.27,0,0,3.16
Braydon Kersey,Mercer,DH,39.08,2.88,0,0,7.7,0.57,3.44
Ethan Ball,Virginia Tech,2B,38.98,2.87,6.48,0.48,0,0,3.35
Dylan Winebrenner,Richmond,1B,39.03,2.87,5.83,0.43,0,0,3.3
Diego Castellanos,Saint Mary's (CA),RF,38.97,2.87,0.02,0,0,0,2.87
Miguel Oropeza,Alabama State,RF,38.94,2.87,-1.4,-0.1,0,0,2.76
Tristan Curless,East Tennessee State,1B,38.81,2.86,3.08,0.23,5.7,0.42,3.5
Drew Berkland,Notre Dame,CF,38.84,2.86,-0.42,-0.03,0,0,2.83
Ezra McNaughton,BYU,1B,38.73,2.85,-2.25,-0.17,0,0,2.69
Jake Bennett,Dallas Baptist,LF,38.76,2.85,-4.9,-0.36,0,0,2.49
Luke Nixon,NC State,2B,38.51,2.84,7.68,0.57,0,0,3.4
Aubrey Kearns,Morehead State,DH,38.57,2.84,2.57,0.19,0,0,3.03
Josiah Overbeek,Army,DH,38.58,2.84,0.36,0.03,1,0.07,2.94
Ryder Helfrick,Arkansas,C,38.28,2.82,27,1.99,0,0,4.81
Ben North,Creighton,SS,38.14,2.81,13.77,1.01,0,0,3.82
Bayram Hot,Louisville,3B,38.13,2.81,12.98,0.96,0,0,3.76
Chris Ramirez,California Baptist,SS,38.1,2.81,9.26,0.68,0,0,3.49
Alec DeMartino,Charlotte,RF,37.97,2.8,7.41,0.55,0,0,3.34
Seojun Oh,High Point,DH,38.05,2.8,5,0.37,0,0,3.17
Caden Ferraro,Texas Tech,DH,38.08,2.8,2.7,0.2,0,0,3
Luke Costello,Wake Forest,RF,37.96,2.8,-6.16,-0.45,0,0,2.34
Tristan Bissetta,Ole Miss,RF,37.9,2.79,2.98,0.22,0,0,3.01
Cooper Nicholson,North Carolina,3B,37.79,2.78,11.4,0.84,0,0,3.62
Will Gasparino,UCLA,CF,37.69,2.78,9.31,0.69,0,0,3.46
Jake Hanley,Indiana,1B,37.77,2.78,4.08,0.3,0,0,3.08
Nick Barone,Liberty,LF,37.7,2.78,2.59,0.19,0,0,2.97
Liam Bushey,Western Illinois,1B,37.75,2.78,0.38,0.03,0,0,2.81
James McCoy,Georgia Southern,1B,37.72,2.78,1.32,0.1,-2.3,-0.17,2.71
Niko Brini,Wofford,CF,37.64,2.77,8.04,0.59,0,0,3.36
Tyler Bell,Kentucky,SS,37.58,2.77,6.8,0.5,0,0,3.27
Tyree Reed,Jackson State,RF,37.6,2.77,3.22,0.24,0,0,3.01
Brady Thomas,Jacksonville State,DH,37.67,2.77,1.38,0.1,-0.7,-0.05,2.82
Wyatt Hanoian,Air Force,2B,37.5,2.76,9.43,0.69,0,0,3.46
Davis Gillespie,Southern Miss,LF,37.48,2.76,-0.42,-0.03,0,0,2.73
Bino Watters,Notre Dame,LF,37.46,2.76,-1.31,-0.1,0,0,2.66
Mikey Bell,Gonzaga,3B,37.32,2.75,8.17,0.6,0,0,3.35
Cole Raile,VMI,C,37.27,2.74,9.75,0.72,0,0,3.46
Evan Appelwick,Miami (OH),1B,37.06,2.73,4.02,0.3,0,0,3.03
Justin Lebron,Alabama,SS,36.96,2.72,14.71,1.08,0,0,3.8
Mac Moyer,Nebraska,CF,36.87,2.72,8.64,0.64,0,0,3.35
Jackson Smith,Cincinnati,2B,36.95,2.72,7.27,0.54,0,0,3.26
Jake Long,Utah,LF,36.96,2.72,-2.5,-0.18,0,0,2.54
Julio Solier,Boston College,SS,36.84,2.71,8.39,0.62,0,0,3.33
Jayce Tharnish,Kentucky,CF,36.83,2.71,6.84,0.5,0,0,3.22
Paul Schoenfeld,West Virginia,CF,36.79,2.71,6.58,0.48,0,0,3.19
Diego Cruz,Miami (OH),2B,36.83,2.71,4.12,0.3,0,0,3.02
Manny Salas,Texas State,DH,36.77,2.71,0.63,0.05,0,0,2.75
Ryder Robinson,BYU,SS,36.71,2.7,9.85,0.73,0,0,3.43
Kaden Carpenter,Utah Valley,CF,36.62,2.7,0.19,0.01,0,0,2.71
Derek Curiel,LSU,CF,36.51,2.69,14.91,1.1,0,0,3.79
Joe Tiroly,Virginia,2B,36.59,2.69,10.31,0.76,0,0,3.45
Brady Neal,Alabama,C,36.56,2.69,8.5,0.63,0,0,3.32
Jacob Parker,Mississippi State,RF,36.53,2.69,3.37,0.25,0,0,2.94
Brayden Dowd,Florida State,CF,36.48,2.69,-0.03,0,0,0,2.68
Armani Raygoza,UTRGV,1B,36.39,2.68,5.48,0.4,0,0,3.08
Michael Rodriguez,Bethune-Cookman,RF,36.45,2.68,-2.19,-0.16,0,0,2.52
Kevin Takeuchi,USC,CF,36.29,2.67,10.61,0.78,0,0,3.45
Ethin Bingaman,Auburn,1B,36.26,2.67,8.07,0.59,0,0,3.26
Connor Shouse,Texas Tech,3B,36.21,2.67,-1.46,-0.11,5.7,0.42,2.98
Nate Savoie,Clemson,C,36.25,2.67,2.24,0.16,0,0,2.83
Caleb Johnson,Jacksonville State,SS,36.09,2.66,8.36,0.62,0,0,3.27
Connor Ross,California Baptist,3B,36.09,2.66,7.14,0.53,0,0,3.18
Dylan O'Connell,Milwaukee,CF,36.1,2.66,-0.73,-0.05,0,0,2.6
Zion Rose,Louisville,LF,36.03,2.65,3.24,0.24,0,0,2.89
Enzo Infelise,Cincinnati,DH,35.95,2.65,-2.35,-0.17,0,0,2.47
Lee Amedee,Louisiana,1B,35.8,2.64,13.6,1,0,0,3.64
Ian Armstrong,Saint Mary's (CA),C,35.76,2.63,18.1,1.33,0,0,3.97
Matthew Russo,Southern Miss,1B,35.65,2.63,5.6,0.41,0,0,3.04
Matthew Thomas,Cal State Northridge,LF,35.7,2.63,5.07,0.37,0,0,3
AJ Swader,Bellarmine,1B,35.65,2.63,0.5,0.04,0,0,2.66
Teddy Tokheim,Stanford,DH,35.72,2.63,-0.6,-0.04,0,0,2.59
Adam Agresti,St. John's,C,35.53,2.62,6.61,0.49,0,0,3.1
Lukas Torres,Wagner,CF,35.6,2.62,6.12,0.45,0,0,3.07
Rett Johnson,NC State,LF,35.64,2.62,4.8,0.35,0,0,2.98
Carter Dierdorf,Pittsburgh,1B,35.39,2.61,6.15,0.45,0,0,3.06
Brady Christman,Georgia Southern,DH,35.46,2.61,-0.54,-0.04,0,0,2.57
Brennan Hudson,Georgia,1B,35.37,2.6,8.45,0.62,0,0,3.23
Steven Meier,Troy,CF,35.34,2.6,7.17,0.53,0,0,3.13
Ethan Surowiec,Florida,3B,35.31,2.6,6.32,0.47,0,0,3.07
Maloy Heaghney,USC Upstate,SS,35.3,2.6,2.24,0.16,0,0,2.76
Henry Zenor,USC Upstate,CF,35.37,2.6,1.43,0.11,0,0,2.71
Reese Chapman,Tennessee,RF,35.35,2.6,-2.83,-0.21,0,0,2.39
Deiten Lachance,Oklahoma,1B,35.12,2.59,16.64,1.23,0,0,3.81
Tanner Marsh,Liberty,SS,34.99,2.58,14.31,1.05,0,0,3.63
Kyeler Thompson,Texas Tech,CF,35,2.58,7.79,0.57,0,0,3.15
Jake Souders,Samford,RF,34.99,2.58,7.37,0.54,0,0,3.12
RJ Hamilton,Duke,RF,35.04,2.58,2.3,0.17,0,0,2.75
Hideki Prather,California,C,35.01,2.58,-5.51,-0.41,0,0,2.17
Ryan Cooney,Oregon,2B,34.95,2.57,8.03,0.59,0,0,3.16
Michael Elko,Richmond,2B,34.84,2.57,7.64,0.56,0,0,3.13
Aidan Meola,Oklahoma State,3B,34.84,2.57,6.16,0.45,0,0,3.02
Jon Embury,FGCU,C,34.9,2.57,2.05,0.15,0,0,2.72
Jaylen Hernandez,Winthrop,LF,34.9,2.57,-0.1,-0.01,0,0,2.56
Nate Conner,East Tennessee State,RF,34.96,2.57,-2.52,-0.19,0,0,2.39
Eric Guevara,Auburn,3B,34.78,2.56,15.1,1.11,0,0,3.67
Gable Mitchell,Iowa,2B,34.74,2.56,10.74,0.79,0,0,3.35
Bryce Fowler,Alabama,CF,34.72,2.56,7.62,0.56,0,0,3.12
Blake Cyr,Florida,LF,34.78,2.56,-2.04,-0.15,0,0,2.41
Ryan Gerety,Northeastern,CF,34.65,2.55,9.76,0.72,0,0,3.27
Dominic Smaldino,Arizona State,1B,34.59,2.55,7.56,0.56,0,0,3.1
Alex Kelsey,Saint Joseph's,CF,34.48,2.54,1.96,0.14,0,0,2.68
Jake Paulick,Northern Kentucky,C,34.56,2.54,-1,-0.07,0,0,2.47
Ben Niednagel,Air Force,SS,34.42,2.53,8.55,0.63,0,0,3.16
Makoa Sniffen,Saint Mary's (CA),1B,34.4,2.53,5.93,0.44,0,0,2.97
Isaac Cadena,USC,C,34.32,2.53,4.32,0.32,0,0,2.85
Josiah Hall,Southeast Missouri,DH,34.41,2.53,-1.11,-0.08,0,0,2.45
Jason Wachs,Tulane,RF,34.35,2.53,-1.7,-0.13,0,0,2.4
Ben Timblin,Wofford,RF,34.4,2.53,-3.22,-0.24,0,0,2.3
Cade Arrambide,LSU,C,34.25,2.52,-0.91,-0.07,0,0,2.46
Jayson Jones,Wichita State,3B,34.06,2.51,1.46,0.11,0,0,2.62
Henry Kaczmar,Ohio State,SS,33.98,2.5,13.91,1.02,0,0,3.53
Jett Music,Campbell,DH,33.93,2.5,-2.16,-0.16,3.2,0.24,2.58
Jeremy Cheeseman,Fairleigh Dickinson,1B,33.93,2.5,8.11,0.6,-10.2,-0.75,2.34
Cole Prout,Central Michigan,LF,33.91,2.5,-2.41,-0.18,0,0,2.32
Ashton Kampa,Illinois-Chicago,LF,33.92,2.5,-2.94,-0.22,0,0,2.28
Caden Dulin,Pittsburgh,SS,33.85,2.49,8.9,0.66,0,0,3.15
Davin Whitaker,East Carolina,LF,33.8,2.49,5.63,0.41,0,0,2.9
Khaleel Pratt,Eastern Kentucky,RF,33.81,2.49,4.78,0.35,0,0,2.84
Patrick McCullough,West Georgia,3B,33.86,2.49,3.96,0.29,0,0,2.78
Dom Krupinski,Miami (OH),3B,33.81,2.49,1.37,0.1,0,0,2.59
Nin Burns II,UNLV,RF,33.83,2.49,-0.26,-0.02,0,0,2.47
Trey Gambill,Oklahoma,LF,33.87,2.49,-0.67,-0.05,0,0,2.44
Jacob Johnson,Saint Mary's (CA),LF,33.87,2.49,-5.68,-0.42,0,0,2.08
Drew Smith,Oregon,3B,33.68,2.48,11.95,0.88,0,0,3.36
Brock Thompson,Oklahoma State,SS,33.72,2.48,9.96,0.73,0,0,3.22
Javier Gorostola,FGCU,3B,33.69,2.48,4.6,0.34,0,0,2.82
Jackson Hotchkiss,Washington,LF,33.65,2.48,1.43,0.11,0,0,2.58
Charlie Sutherland,Minnesota,RF,33.73,2.48,-0.48,-0.04,0,0,2.45
Jake Jackson,San Diego State,CF,33.55,2.47,3.36,0.25,0,0,2.72
Kai Wagner,Pittsburgh,3B,33.54,2.47,2.48,0.18,0,0,2.65
Jayce Lee,Notre Dame,RF,33.54,2.47,1.33,0.1,0,0,2.57
Kolby Branch,Georgia,SS,33.35,2.46,14.18,1.04,0,0,3.5
Logan Tribble,Wofford,LF,33.45,2.46,3.12,0.23,0,0,2.69
Kyle Jones,Florida,CF,33.46,2.46,2.69,0.2,0,0,2.66
Trey Hawsey,Louisiana Tech,1B,33.39,2.46,1.63,0.12,0,0,2.58
Johnny Sweeney,USC Upstate,DH,33.36,2.46,0.55,0.04,0,0,2.5
Zandt Payne,Abilene Christian,SS,33.21,2.45,8.06,0.59,0,0,3.04
Ty Smolinski,Kansas State,1B,33.29,2.45,3.87,0.28,0,0,2.74
Slade McCloud,Tarleton State,2B,33.14,2.44,9.59,0.71,0,0,3.15
Graham Mastros,Illinois State,2B,33.19,2.44,5.82,0.43,0,0,2.87
Nick Wang,Boston College,1B,33.12,2.44,2.7,0.2,0,0,2.64
Andrew Duncan,Wright State,CF,33.07,2.44,0.49,0.04,0,0,2.47
Ellis Garcia,Bryant,3B,33.04,2.43,4.47,0.33,0,0,2.76
Dane Harvey,Ohio State,1B,33.03,2.43,2.81,0.21,0,0,2.64
Tré Keels,Longwood,CF,33.01,2.43,2.42,0.18,0,0,2.61
Steven Milam,LSU,SS,32.85,2.42,14.09,1.04,0,0,3.46
Ryker Waite,Vanderbilt,SS,32.85,2.42,13.38,0.99,0,0,3.4
Luke Lawrence,Kentucky,SS,32.93,2.42,6.78,0.5,0,0,2.92
Joseph Mennella,Wagner,1B,32.67,2.41,1.77,0.13,0,0,2.54
Brody Chrisman,Akron,RF,32.78,2.41,0.17,0.01,0,0,2.43
Camden Johnson,Oklahoma,3B,32.57,2.4,8.28,0.61,0,0,3.01
Landon Beaver,UAB,DH,32.53,2.4,6.96,0.51,0,0,2.91
Rashawn Galloway,Texas State,RF,32.59,2.4,4.23,0.31,0,0,2.71
Sam Flores,Purdue,3B,32.52,2.39,5.89,0.43,0,0,2.83
Steve Solorzano,New Mexico State,1B,32.52,2.39,5.75,0.42,0,0,2.82
Logan Fyffe,Missouri State,SS,32.48,2.39,5.62,0.41,0,0,2.81
Chase Brunson,TCU,CF,32.52,2.39,4.28,0.32,0,0,2.71
Damian Ruiz,Arkansas,LF,32.49,2.39,3.55,0.26,0,0,2.65
Macon Winslow,North Carolina,C,32.48,2.39,-1.77,-0.13,0,0,2.26
Jordan Bach,Kansas,RF,32.4,2.39,-2.91,-0.21,0,0,2.17
Ben Tryon,Dallas Baptist,1B,32.3,2.38,7.02,0.52,0,0,2.9
Kent Schmidt,Georgia Tech,1B,32.34,2.38,5.99,0.44,0,0,2.82
Garrett Wright,Tennessee,CF,32.26,2.38,4.32,0.32,0,0,2.69
AJ Nessler,Pittsburgh,CF,32.27,2.38,3.54,0.26,0,0,2.64
Brayden Jefferis,Michigan,3B,32.12,2.37,16.93,1.25,0,0,3.61
Connor Cuff,Southeastern Louisiana,SS,32.24,2.37,11.33,0.83,0,0,3.21
Lucas Moore,Louisville,CF,32.17,2.37,3.27,0.24,0,0,2.61
Cal Sullivan,Southeast Missouri,1B,32.22,2.37,1.95,0.14,0,0,2.52
Kyle McDaniel,Utah Tech,2B,32.02,2.36,12.36,0.91,0,0,3.27
Trevor Lucas,UNC Wilmington,3B,32.1,2.36,10.56,0.78,0,0,3.14
Will Furniss,Ole Miss,1B,32.04,2.36,6.8,0.5,0,0,2.86
Cody Gunderson,Charlotte,1B,32.07,2.36,6.05,0.45,0,0,2.81
Mike O'Conor,Eastern Illinois,DH,32.02,2.36,3.57,0.26,0,0,2.62
Jack Toomey,Boston College,RF,32.05,2.36,-3.24,-0.24,0,0,2.12
Dylan Biddick,New Orleans,LF,32.02,2.36,-3.77,-0.28,0,0,2.08
Temo Becerra,Texas,3B,31.85,2.35,7.56,0.56,0,0,2.9
Luke Gaffney,Clemson,1B,31.97,2.35,6.13,0.45,0,0,2.81
Jack Basseer,USC,RF,31.97,2.35,2.61,0.19,0,0,2.55
Myles Bailey,Florida State,1B,31.96,2.35,1.67,0.12,0,0,2.48
Dom Kibler,Milwaukee,C,31.85,2.35,-2.66,-0.2,0,0,2.15
Colton Coates,Louisiana Tech,2B,31.78,2.34,7.75,0.57,0,0,2.91
Rowan Kelly,UC Santa Barbara,CF,31.83,2.34,5.35,0.39,0,0,2.74
Jack Lausch,Northwestern,CF,31.74,2.34,-0.66,-0.05,0,0,2.29
Cameron Gurney,Utah,1B,31.65,2.33,8.35,0.61,0,0,2.95
Gehrig Frei,Mississippi State,2B,31.7,2.33,7.76,0.57,0,0,2.91
CJ Griggs,Hofstra,DH,31.69,2.33,4.32,0.32,0,0,2.65
Henry Allen,Georgia,LF,31.66,2.33,1.67,0.12,0,0,2.45
Aaron Manias,Purdue,DH,31.66,2.33,1.04,0.08,0,0,2.41
Erick Dessens,Sacramento State,RF,31.59,2.33,0.05,0,0,0,2.33
Weber Neels,Minnesota,C,31.58,2.33,-1.6,-0.12,0,0,2.21
Matthew Strand,Duke,C,31.59,2.33,-15.49,-1.14,0,0,1.19
Augusto Mungarrieta,Kansas,C,31.54,2.32,13.24,0.97,0,0,3.3
Jackson McKenzie,Florida A&M,DH,31.53,2.32,0.11,0.01,10.1,0.74,3.07
Henry Ford,Tennessee,3B,31.52,2.32,5.87,0.43,0,0,2.75
Michael Gibson,The Citadel,DH,31.32,2.31,0.38,0.03,8.9,0.66,2.99
Gabe Camacho,UC San Diego,1B,31.42,2.31,7.45,0.55,0,0,2.86
Max Hartman,Washington State,RF,31.36,2.31,3.02,0.22,0,0,2.53
Paul Contreras,Cal State Fullerton,RF,31.43,2.31,2.18,0.16,0,0,2.47
Blaize Johnson,UNC Asheville,LF,31.35,2.31,1.09,0.08,0,0,2.39
Davis Mauzy,UL Monroe,CF,31.35,2.31,0.85,0.06,0,0,2.37
Bryce Blaser,UL Monroe,LF,31.18,2.3,1.02,0.08,0,0,2.37
Derrick Pitts,Cincinnati,RF,31.05,2.29,11.15,0.82,0,0,3.11
Makani Tanaka,Oral Roberts,CF,31.12,2.29,9.55,0.7,0,0,2.99
Erik Paulsen,North Carolina,1B,31.04,2.29,4.55,0.34,0,0,2.62
Brant Baughcum,Mercer,3B,31.08,2.29,3.92,0.29,0,0,2.58
James Love,Eastern Illinois,3B,31.13,2.29,2.26,0.17,0,0,2.46
Angel Laya,Oregon,RF,31.16,2.29,-6.31,-0.46,0,0,1.83
Lane Haworth,UTSA,RF,30.91,2.28,6.06,0.45,0,0,2.72
Cole Smith,Northern Illinois,2B,30.99,2.28,3.91,0.29,0,0,2.57
Sam Harris,Virginia,1B,30.92,2.28,2.85,0.21,0,0,2.49
Mason Roell,Indiana State,3B,30.9,2.28,2.09,0.15,0,0,2.43
Ryan Tyranski,Cincinnati,LF,31.01,2.28,0.08,0.01,0,0,2.29
Matt Bolton,Binghamton,CF,30.91,2.28,-3.97,-0.29,0,0,1.98
Maverick Stallings,Old Dominion,2B,30.85,2.27,11.42,0.84,0,0,3.11
CJ Egrie,Holy Cross,CF,30.81,2.27,11.21,0.83,0,0,3.09
Grayson Childers,Queens (NC),1B,30.8,2.27,6.47,0.48,0,0,2.74
Caleb Klein,Southeast Missouri,CF,30.84,2.27,3.76,0.28,0,0,2.55
Davis Germann,Morehead State,LF,30.63,2.26,11.27,0.83,0,0,3.09
Willie Ponce,High Point,SS,30.75,2.26,9.27,0.68,0,0,2.95
Andrew Hunt,UAB,RF,30.68,2.26,1.46,0.11,0,0,2.37
Alex Mendes,Mount St. Mary's,1B,30.65,2.26,1.11,0.08,0,0,2.34
Tyson Owens,Kansas,CF,30.65,2.26,-4.42,-0.33,0,0,1.93
Dean West,UCLA,LF,30.52,2.25,9.63,0.71,0,0,2.96
